"TL_inc_d1_DI_ctrl_2"	"TL_inc_d1_DI_ctrl_3"	"TL_inc_d1_DI_ctrl_4"	"TL_inc_d1_DI_ctrl_5"	"TL_inc_d2_DI_ctrl_1"	"TL_inc_d2_DI_ctrl_3"	"TL_inc_d2_DI_ctrl_4"	"TL_inc_d2_DI_ctrl_5"	"TL_inc_d1_ASW_noS_1"	"TL_inc_d1_ASW_noS_2"	"TL_inc_d1_ASW_noS_3"	"TL_inc_d1_ASW_noS_4"	"TL_inc_d1_ASW_noS_5"	"TL_inc_d2_ASW_noS_2"	"TL_inc_d2_ASW_noS_3"	"TL_inc_d2_ASW_noS_4"	"TL_inc_d2_ASW_noS_5"	"TL_inc_d1_ASW_3"	"TL_inc_d1_ASW_4"	"TL_inc_d1_ASW_5"	"TL_inc_d2_ASW_1"	"TL_inc_d2_ASW_3"	"TL_inc_d2_ASW_4"	"TL_inc_d2_ASW_5"	"TL_inc_d1_SO4_3"	"TL_inc_d1_SO4_4"	"TL_inc_d1_SO4_5A"	"TL_inc_d1_SO4_5B"	"TL_inc_d2_SO4_2"	"TL_inc_d2_SO4_3"	"TL_inc_d2_SO4_4"	"TL_inc_d2_SO4_5A"	"TL_inc_d2_SO4_5B"	"Consensus.lineage"
"44"	"  369"	" 392"	" 547"	" 546"	" 150"	" 130"	"  91"	"  306"	"  366"	"  271"	" 1140"	" 455"	" 396"	"  77"	"   69"	"  145"	" 208"	"  145"	" 145"	"   44"	"  111"	"  92"	" 155"	"  83"	" 496"	" 284"	" 296"	" 136"	" 139"	"  88"	" 141"	" 113"	" 303"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Rhodoplanes"
"45"	"  148"	" 468"	" 293"	" 484"	"  51"	"  21"	"  30"	"   77"	"  114"	"  101"	"  103"	" 399"	" 345"	"   1"	"   12"	"   29"	"  37"	"  164"	"  35"	"   14"	"   29"	"   5"	"  29"	"  26"	" 304"	" 393"	" 391"	"   9"	"  36"	"  16"	"  15"	"   5"	" 216"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__AlphaproteobacteriaCL;f__AlphaproteobacteriaCL;g__AlphaproteobacteriaCL"
"48"	"  290"	" 123"	" 216"	" 242"	"1256"	"1471"	" 910"	"  483"	"   66"	"  188"	"   97"	"  90"	"  44"	" 176"	"   90"	"  627"	" 540"	"   11"	"  44"	"  167"	" 1842"	"1587"	"  89"	"1373"	" 242"	" 142"	" 167"	"1539"	"4177"	"2366"	"1267"	"2067"	" 242"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"50"	"  655"	" 522"	" 616"	" 925"	" 733"	" 201"	" 644"	" 1093"	"  226"	"  202"	"  251"	" 379"	" 436"	"  54"	"  133"	"  256"	" 772"	"  217"	"  64"	"   77"	"  228"	" 737"	"  82"	" 482"	" 394"	" 567"	" 673"	" 773"	"1486"	" 964"	" 728"	"1247"	" 571"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__SyntrophobacteraceaeFA"
"51"	" 2315"	" 214"	" 469"	" 131"	"  48"	" 365"	"   9"	"   29"	" 1360"	" 2382"	"  330"	" 844"	" 688"	"  84"	"  138"	"  166"	" 111"	" 1187"	" 921"	" 1563"	"  311"	"  25"	"1109"	"   7"	" 104"	"3465"	" 155"	"   5"	"   3"	"   3"	"  96"	"   9"	" 769"	"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Alicyclobacillus"
"52"	"  147"	"  63"	" 137"	" 279"	" 826"	" 229"	" 440"	"  170"	"   54"	"   65"	"  137"	" 108"	" 112"	"4041"	"  564"	" 4859"	"1679"	"  107"	"  69"	"   91"	" 1995"	"3071"	"  76"	" 387"	"  52"	"  68"	" 105"	" 816"	" 487"	" 861"	"1062"	" 949"	" 102"	"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__KtedonobacteriaCL;f__KtedonobacteriaCL;g__KtedonobacteriaCL"
"54"	"  175"	"  12"	" 139"	"  80"	" 608"	" 488"	"1176"	"  208"	"   27"	"   14"	"   14"	"   8"	"   5"	"2646"	"  274"	"  511"	"1216"	"   26"	"   6"	"  448"	" 1024"	"2452"	"   7"	"3614"	"  68"	"  56"	"  59"	"1399"	"1150"	"2302"	"1379"	"2993"	"  64"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"55"	"  957"	" 625"	" 992"	" 698"	"  64"	"  53"	"  36"	"   62"	"  584"	"  484"	"  583"	"1285"	"1095"	" 126"	"   94"	"  384"	" 181"	"  419"	" 790"	"  162"	"  183"	" 130"	" 722"	"  10"	" 656"	" 727"	" 471"	" 110"	"  53"	" 136"	"  36"	"  62"	" 761"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Solirubrobacterales;f__SolirubrobacteralesOR;g__SolirubrobacteralesOR"
"56"	"  129"	"   0"	"   1"	"   4"	"   0"	"   6"	"   3"	"    0"	"  860"	" 2512"	"  259"	" 836"	" 569"	"  46"	"    2"	"  390"	"  52"	"   10"	" 385"	"14677"	"  202"	"   0"	" 361"	"   4"	"   2"	"   1"	"   2"	"   0"	"   0"	"   0"	"   0"	"   0"	"   1"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__AcetobacteraceaeFA"
"57"	"  575"	"   9"	"  11"	"   0"	"   0"	"  15"	"   1"	"    0"	"  203"	"  332"	"  242"	" 378"	" 382"	" 831"	"   26"	" 3495"	"   1"	" 1511"	"  29"	"  807"	"  343"	"7031"	"  35"	"4594"	"  62"	" 117"	"  51"	"   0"	"   0"	"   0"	"   3"	"   2"	"  50"	"k__Bacteria;p__Spirochaetes;c__Spirochaetes (class);o__Spirochaetales;f__Spirochaetaceae;g__SA-8"
