"TL_inc_d1_DI_ctrl_2"	"TL_inc_d1_DI_ctrl_3"	"TL_inc_d1_DI_ctrl_4"	"TL_inc_d1_DI_ctrl_5"	"TL_inc_d2_DI_ctrl_1"	"TL_inc_d2_DI_ctrl_3"	"TL_inc_d2_DI_ctrl_4"	"TL_inc_d2_DI_ctrl_5"	"TL_inc_d1_ASW_noS_1"	"TL_inc_d1_ASW_noS_2"	"TL_inc_d1_ASW_noS_3"	"TL_inc_d1_ASW_noS_4"	"TL_inc_d1_ASW_noS_5"	"TL_inc_d2_ASW_noS_2"	"TL_inc_d2_ASW_noS_3"	"TL_inc_d2_ASW_noS_4"	"TL_inc_d2_ASW_noS_5"	"TL_inc_d1_ASW_3"	"TL_inc_d1_ASW_4"	"TL_inc_d1_ASW_5"	"TL_inc_d2_ASW_1"	"TL_inc_d2_ASW_3"	"TL_inc_d2_ASW_4"	"TL_inc_d2_ASW_5"	"TL_inc_d1_SO4_3"	"TL_inc_d1_SO4_4"	"TL_inc_d1_SO4_5A"	"TL_inc_d1_SO4_5B"	"TL_inc_d2_SO4_2"	"TL_inc_d2_SO4_3"	"TL_inc_d2_SO4_4"	"TL_inc_d2_SO4_5A"	"TL_inc_d2_SO4_5B"	"Consensus.lineage"
"1563"	"   16"	"  27"	"  41"	"  52"	"  27"	"   5"	"  13"	"    2"	"    3"	"    0"	"    6"	"   8"	"   4"	"   5"	"    6"	"   15"	"  11"	"    0"	"   1"	"    0"	"    8"	"   2"	"   2"	"   1"	"  32"	"  28"	"  56"	" 113"	"  41"	"  73"	"  48"	"  24"	"  76"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA"
"1569"	"   24"	"  39"	"  13"	"  30"	"  19"	"  19"	"  27"	"   35"	"    8"	"    2"	"    9"	"  14"	"  18"	"   3"	"    2"	"   10"	"  48"	"    9"	"   5"	"    0"	"    2"	"  11"	"   4"	"   4"	"  21"	"  26"	"  14"	"  45"	"  36"	"  25"	"  20"	"  36"	"  40"	"k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Planctomycetales;f__Planctomycetaceae;g__Planctomyces"
"1571"	"    4"	"  23"	"  28"	"  18"	"   1"	"   1"	"   0"	"    2"	"   26"	"    7"	"    9"	"  87"	"  73"	"   0"	"    0"	"    3"	"   0"	"    5"	"   9"	"    2"	"    6"	"   0"	"   8"	"   0"	"  24"	"  14"	"  12"	"   0"	"   0"	"   0"	"   0"	"   0"	"  54"	"k__Bacteria;p__Acidobacteria;c__Sva0725;o__Sva0725;f__Sva0725OR;g__Sva0725OR"
"1572"	"    5"	"  14"	"   9"	"  13"	"  18"	"  77"	"  14"	"    4"	"    1"	"    3"	"    1"	"   5"	"   5"	"   2"	"    2"	"    1"	"   8"	"    6"	"   1"	"    1"	"    9"	"   2"	"   3"	"   3"	"   9"	"   5"	"  22"	"  30"	"  14"	"  26"	"  46"	"  40"	"  13"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__RhodospirillaceaeFA"
"1574"	"    1"	"  70"	"  35"	"   5"	"   5"	"   6"	"   2"	"    5"	"    1"	"    0"	"    2"	"   0"	"   1"	"   1"	"    0"	"    0"	"   0"	"    0"	"   0"	"    4"	"    2"	"   0"	"   0"	"   0"	"   3"	"  67"	"  78"	"   7"	"  12"	"   6"	"   2"	"   0"	"  75"	"k__Bacteria;p__Elusimicrobia;c__Elusimicrobia (class);o__Elusimicrobiales;f__ElusimicrobialesOR;g__ElusimicrobialesOR"
"1576"	"   10"	"  14"	"  27"	"  47"	"  79"	"   1"	"  42"	"    7"	"    3"	"    5"	"    7"	"   2"	"   2"	"   2"	"    3"	"   28"	"  34"	"    0"	"   2"	"    5"	"   12"	"   9"	"   3"	"  35"	"  18"	"  13"	"  19"	"  47"	"  19"	"  39"	"  33"	"  43"	"  25"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"1577"	"    0"	"   2"	"   0"	"   0"	"  58"	" 268"	"  86"	"    3"	"    2"	"    0"	"    0"	"   0"	"   2"	"   3"	"    3"	"    1"	"   6"	"    0"	"   0"	"    2"	"    4"	"   1"	"   2"	"  16"	"   1"	"   1"	"  31"	" 128"	"  60"	"  17"	" 212"	"  35"	"   1"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"1579"	"   12"	"  32"	"  47"	"  37"	"   4"	"   0"	"   2"	"    3"	"    4"	"    1"	"    8"	"  69"	"  70"	"   0"	"    0"	"    0"	"   0"	"    5"	"   1"	"    0"	"    0"	"   0"	"   0"	"   2"	"  34"	"  46"	"  60"	"   0"	"   2"	"   0"	"   0"	"   1"	"  11"	"k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes (class);o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas"
"1580"	"   34"	"  36"	"  23"	"  13"	"   4"	"   5"	"   8"	"   10"	"   16"	"   16"	"   19"	"  57"	"  47"	"   2"	"    0"	"    2"	"   2"	"   42"	"  27"	"    1"	"    5"	"   3"	"  19"	"  16"	"  39"	"  16"	"  23"	"  11"	"   3"	"   5"	"   2"	"   5"	"  42"	"k__Bacteria;p__WPS-2;c__WPS-2PH;o__WPS-2PH;f__WPS-2PH;g__WPS-2PH"
"1582"	"    8"	"   3"	"   4"	"   5"	"  62"	"  31"	"  52"	"   25"	"    1"	"    0"	"    0"	"   1"	"   2"	"   5"	"    1"	"    8"	"  10"	"    1"	"   0"	"    5"	"    4"	"   9"	"   1"	"  65"	"  20"	"   6"	"  12"	"  81"	"  43"	"  79"	" 215"	" 151"	"   9"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"1584"	"    0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"    0"	"  172"	"   31"	"  315"	"  29"	"  14"	"   0"	"    4"	"    1"	"  32"	"    0"	"   3"	"    3"	"    6"	"   1"	"   1"	"   0"	"   0"	"   0"	"   0"	"   1"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Cryomorphaceae;g__CryomorphaceaeFA"
"1587"	"    3"	"   3"	"   0"	"   2"	"   2"	"   2"	"   3"	"    0"	"    8"	"  132"	"    2"	"   2"	"   2"	"  33"	"  341"	"   12"	"   1"	"  160"	"   8"	"   22"	"   93"	"  40"	"  12"	"  19"	"   4"	"   2"	"   1"	"   5"	"   6"	"   8"	"   6"	"  15"	"   1"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales;f__Thermoanaerobacteraceae;g__Thermacetogenium"
"1593"	"    5"	"   0"	"   1"	"   0"	"   0"	"   4"	"   4"	"    1"	"    1"	"    0"	"    1"	"   1"	"   0"	"  52"	"  640"	"    2"	"   2"	"   17"	"   3"	"    1"	"   15"	"  38"	"   2"	"   4"	"   0"	"   2"	"   0"	"  41"	"  21"	"  62"	"   3"	"  28"	"   0"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ethanoligenens"
"1596"	"   38"	"  41"	"  27"	"  24"	"   3"	"  13"	"   1"	"    3"	"   22"	"    5"	"   16"	"  28"	"  27"	"   0"	"    2"	"   16"	"   7"	"   16"	"   5"	"    1"	"    7"	"   3"	"  18"	"   2"	"  34"	"  30"	"  37"	"  11"	"  11"	"   1"	"  13"	"  10"	"  40"	"k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Gemmatales;f__Gemmataceae;g__GemmataceaeFA"
"1597"	"   37"	"  26"	"  24"	"  49"	"  40"	"  13"	"  56"	"   27"	"    9"	"    3"	"    8"	"   3"	"  13"	"   3"	"    4"	"   10"	"   7"	"    2"	"   2"	"    3"	"    7"	"  10"	"   4"	"   4"	"  50"	"  47"	"  37"	"  40"	"  35"	"  28"	"  12"	"  80"	"  79"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"1600"	"   10"	"   1"	"   2"	"   3"	"   0"	"   3"	"   0"	"    0"	"    1"	"    2"	"    5"	"  62"	"  51"	"   2"	"    4"	"    6"	"   5"	"   34"	"  11"	"    1"	"    2"	"   0"	"  13"	"   0"	"   8"	"   4"	"   1"	"   1"	"   0"	"   1"	"   1"	"   0"	"   1"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Streptomycetaceae;g__Streptomyces"
"1601"	"   10"	"  22"	"  15"	"  16"	"  15"	"  42"	"  20"	"   19"	"   20"	"   42"	"   10"	"   5"	"   5"	"   9"	"    4"	"    3"	"   0"	"   15"	"  17"	"    0"	"    5"	"  12"	"  32"	"   4"	"  22"	"  20"	"   4"	"  23"	"  30"	"  48"	"  20"	"  28"	"  15"	"k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobia subdivision 3;g__Verrucomicrobia subdivision 3FA"
"1603"	"    3"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"    0"	"    2"	"   17"	"  353"	"  10"	"   1"	"   0"	"   69"	"    0"	"  82"	"    3"	"   2"	"    7"	"    0"	"   0"	"   1"	"   0"	"   1"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   1"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR"
"1609"	"   30"	"  16"	"  25"	"  17"	"   3"	"   2"	"   2"	"  174"	"   48"	"   37"	"   35"	"  35"	"  22"	"   0"	"   23"	"    7"	"   1"	"   31"	"  28"	"   11"	"   22"	"  33"	"  28"	"   0"	"  14"	"  17"	"   8"	"   0"	"   3"	"   1"	"   0"	"   1"	"  36"	"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__KtedonobacteriaCL;f__KtedonobacteriaCL;g__KtedonobacteriaCL"
"1612"	"    1"	"  27"	" 141"	"  43"	"  18"	"   5"	"  57"	"   41"	"    2"	"    0"	"    0"	"   2"	"   0"	"   0"	"    0"	"    1"	"  19"	"    0"	"   0"	"    0"	"    0"	"   0"	"   0"	"   0"	"  54"	"  11"	"  32"	"   2"	"   8"	"   3"	"   1"	"   7"	"   6"	"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR"
"1616"	"    1"	"   2"	"   4"	"   3"	"  17"	"  54"	"  16"	"    4"	"    1"	"    2"	"    1"	"   2"	"   3"	"  16"	"    0"	"   11"	"  30"	"    0"	"   1"	"    6"	"   16"	"   9"	"   1"	"  33"	"   7"	"   3"	"   6"	"  12"	"  25"	"  20"	"  25"	"  14"	"   3"	"k__Bacteria;p__Acidobacteria;c__AcidobacteriaPH;o__AcidobacteriaPH;f__AcidobacteriaPH;g__AcidobacteriaPH"
"1617"	"    0"	"   3"	"   0"	"   0"	"   0"	"   0"	"   0"	"    0"	"    2"	"    0"	"   84"	"  10"	"   3"	"   0"	"    0"	"    1"	" 292"	"   14"	"  26"	"    0"	"    0"	"   1"	"  21"	"   0"	"  23"	"   0"	"   2"	"   0"	"   0"	"   0"	"   0"	"   0"	"   1"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__RhizobialesOR;g__RhizobialesOR"
"1619"	"    1"	"  39"	"  40"	"  28"	"   3"	"   7"	"   2"	"    3"	"    6"	"    5"	"    3"	"   3"	"   3"	"   1"	"    0"	"    0"	"   0"	"    4"	"   0"	"    0"	"    0"	"   0"	"   1"	"   0"	"  53"	"  59"	"  86"	"   2"	"   4"	"   1"	"   4"	"   1"	"  38"	"k__Bacteria;p__Chlorobi;c__SM1B09;o__SM1B09CL;f__SM1B09CL;g__SM1B09CL"
"1620"	"    1"	"  28"	"  33"	"  28"	"   2"	"   5"	"   0"	"    9"	"    4"	"    0"	"    2"	"   4"	"   6"	"   0"	"    0"	"    5"	"   0"	"   11"	"   0"	"    0"	"    0"	"   1"	"   0"	"   0"	"  17"	"   9"	"   8"	"   0"	"   3"	"   7"	"   1"	"   0"	"   5"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__AlphaproteobacteriaCL;f__AlphaproteobacteriaCL;g__AlphaproteobacteriaCL"
"1622"	"   20"	"  18"	"  31"	"  14"	"   1"	"   0"	"   2"	"    2"	"    8"	"    7"	"   17"	"  51"	"  38"	"   0"	"    0"	"    4"	"   0"	"   25"	"  19"	"    2"	"    6"	"   8"	"  16"	"   0"	"   6"	"  22"	"  23"	"   1"	"   3"	"   1"	"   1"	"   1"	"  14"	"k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Spartobacteriales;f__Spartobacteriaceae;g__Candidatus Xiphinematobacter"
"1624"	"    3"	"   3"	"   2"	"   4"	"   1"	"   0"	"   2"	"    2"	"   13"	"   53"	"    5"	"   7"	"   2"	"   2"	"  108"	"   11"	"   2"	"   57"	" 190"	"    6"	"   26"	"   6"	" 194"	"   0"	"   1"	"   3"	"   2"	"   8"	"   2"	"   1"	"   0"	"   1"	"   2"	"k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus"
"1628"	"    1"	"   3"	"   0"	"   0"	"   0"	"   5"	"   0"	"    1"	"    0"	"  341"	"    3"	"   1"	"   0"	"   3"	"   18"	"    2"	"   2"	"    4"	" 209"	"   44"	"    0"	"   5"	" 228"	"   3"	"   0"	"   0"	"   0"	"   4"	"   1"	"   4"	"   0"	"   2"	"   0"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium"
"1629"	"   29"	"  25"	"  21"	"  11"	"   0"	"   0"	"   0"	"    2"	"   19"	"    9"	"   36"	"  82"	"  80"	"  10"	"    1"	"   12"	"   2"	"   31"	"  61"	"    9"	"   11"	"   7"	"  65"	"   3"	"  17"	"  34"	"  28"	"   7"	"   4"	"   5"	"   5"	"   5"	"  35"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Solirubrobacterales;f__SolirubrobacteralesOR;g__SolirubrobacteralesOR"
"1631"	"    0"	"   0"	"   0"	"   0"	"   0"	"   6"	"   1"	"    0"	"    0"	"    0"	"    0"	"   0"	"   0"	"   5"	"  896"	"    3"	"   9"	"    0"	"   0"	"    0"	"    5"	"   3"	"   0"	"   1"	"   0"	"   0"	"   0"	"   1"	"   1"	"   0"	"   8"	"   0"	"   0"	"k__mitochondria;p__ViridiplantaeMito"
"1633"	"    4"	"  30"	"  23"	"  27"	"   0"	"   3"	"   2"	"    5"	"   27"	"    7"	"   17"	"  60"	"  66"	"   0"	"    0"	"    3"	"   0"	"   15"	"   6"	"    3"	"    4"	"   0"	"   2"	"   0"	"  18"	"  21"	"  25"	"   0"	"   0"	"   0"	"   1"	"   0"	"  44"	"k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__AcidobacterialesOR;g__AcidobacterialesOR"
"1634"	"   30"	"  34"	"  77"	"  26"	"   3"	"   1"	"   0"	"    4"	"   19"	"   16"	"   23"	"  35"	"  32"	"   2"	"    0"	"    1"	"   0"	"   21"	"  26"	"    3"	"    1"	"   1"	"  24"	"   1"	"  69"	"  29"	"  44"	"   0"	"   0"	"   0"	"   0"	"   0"	"  41"	"k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes (class);o__Gemmatimonadales;f__Gemmatimonadaceae;g__GemmatimonadaceaeFA"
"1635"	"   10"	"   4"	"   0"	"   0"	"   0"	"   3"	"   0"	"    0"	"    0"	"    2"	"    0"	"   1"	"   5"	"   2"	"    0"	"  163"	"   0"	"    2"	"   0"	"   33"	"    4"	"  37"	"   0"	" 354"	"   1"	"   1"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanomicrobiales;f__MethanomicrobialesOR;g__MethanomicrobialesOR"
"1637"	"   10"	"  10"	"   3"	"   3"	"   1"	"   4"	"   1"	"    2"	"    1"	"    0"	"    3"	"  15"	"  19"	"   2"	"    1"	"    1"	"   2"	"    8"	"  13"	"    1"	"    0"	"   2"	"  13"	"   1"	"   5"	"   5"	"   7"	"   7"	"   2"	"   0"	"   2"	"   4"	"  16"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Acidimicrobiales;f__EB1017;g__EB1017FA"
"1641"	"    8"	"  49"	"  57"	"  32"	"  11"	"   4"	"   8"	"   13"	"    7"	"   10"	"    4"	"  12"	"  14"	"   0"	"    1"	"    5"	"   0"	"   13"	"  11"	"    0"	"    2"	"   0"	"   4"	"   7"	"  40"	"  38"	"  40"	"   6"	"  16"	"  11"	"   7"	"   3"	"  34"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR"
"1642"	"   14"	"   7"	"  15"	"  10"	"  25"	"   5"	"  28"	"    4"	"    4"	"    0"	"   11"	"   6"	"   4"	"  92"	"   12"	"  191"	"  67"	"    1"	"   3"	"    3"	"   55"	" 158"	"   2"	"   4"	"   1"	"   4"	"   1"	"  34"	"  19"	"  31"	"  27"	"  42"	"   5"	"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__KtedonobacteriaCL;f__KtedonobacteriaCL;g__KtedonobacteriaCL"
"1644"	"    1"	"   1"	"   0"	"   0"	"   0"	"   0"	"   0"	"    0"	"    0"	"    0"	"  392"	"   9"	"   0"	"   0"	"    0"	"    0"	"   0"	"    0"	"   0"	"    4"	"    0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR"
"1647"	"    2"	"   3"	"   0"	"   0"	"   0"	"   0"	"   0"	"    0"	"    0"	"    8"	"    2"	"   7"	"   2"	"   2"	"   50"	"    0"	"   1"	"  272"	"   5"	"    0"	"   12"	"   0"	"  12"	"   1"	"   0"	"   1"	"   1"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Propionispora"
"1648"	"   12"	"  49"	"  60"	"  35"	"   2"	"   0"	"   0"	"    4"	"    6"	"    2"	"    3"	"   4"	"   2"	"   1"	"    0"	"    6"	"   0"	"    2"	"   0"	"    0"	"    0"	"   0"	"   0"	"   0"	"  49"	"  32"	"  51"	"   2"	"   4"	"   1"	"   4"	"   2"	"  79"	"k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Gemmatales;f__Gemmataceae;g__Gemmata"
"1651"	"   17"	"  21"	"  20"	"  24"	"   9"	"  13"	"  15"	"   29"	"    5"	"   15"	"    7"	"  14"	"  12"	"   9"	"   10"	"    5"	"  19"	"   23"	"  16"	"    6"	"   16"	"  18"	"  28"	"  10"	"  17"	"  31"	"  30"	"  26"	"  33"	"  19"	"  25"	"  21"	"  31"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"1653"	"    0"	"   4"	"   0"	"   0"	"   0"	"   0"	"   0"	"    0"	"    0"	"    0"	"    0"	"  26"	"  25"	"   0"	"    0"	"    0"	"   0"	"    5"	"  29"	"    0"	"    0"	"   0"	"  48"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"k__Bacteria;p__Chloroflexi;c__SOGA31;o__SOGA31CL;f__SOGA31CL;g__SOGA31CL"
"1658"	"   27"	"  36"	"  26"	"  19"	"  13"	"   7"	"   6"	"   10"	"   16"	"   22"	"   12"	"  18"	"  25"	"  11"	"    9"	"   52"	"  14"	"   70"	"   8"	"   30"	"   45"	"  30"	"  19"	"  20"	"  29"	"  40"	"   7"	"  10"	"   9"	"  10"	"  15"	"   5"	"  28"	"k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Spartobacteriales;f__Spartobacteriaceae;g__Chthoniobacter"
"1660"	"    3"	"  15"	"  14"	"   5"	"   5"	"   3"	"   2"	"    3"	"    2"	"    0"	"    5"	"   6"	"   7"	"   0"	"    0"	"    0"	"   0"	"    8"	"   1"	"    0"	"    3"	"   1"	"   0"	"   0"	"   5"	"   3"	"   9"	"   0"	"   2"	"   0"	"   2"	"   0"	"   8"	"k__Bacteria;p__Planctomycetes;c__Planctomycea;o__Gemmatales;f__Gemmataceae;g__GemmataceaeFA"
"1669"	"    3"	"   4"	"   0"	"   0"	"   0"	"   1"	"   0"	"    1"	"    3"	"   16"	"    3"	"  12"	"   7"	"   0"	"   10"	"    3"	"   1"	"   45"	"   4"	"    1"	"    7"	"   0"	"   5"	"   0"	"   1"	"   6"	"   5"	"   0"	"   0"	"   2"	"   0"	"   0"	"   2"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium"
"1670"	"    2"	"  29"	"  18"	"  14"	"   0"	"   0"	"   0"	"    0"	"   11"	"   11"	"   16"	"  83"	"  55"	"   0"	"    0"	"    0"	"   0"	"   44"	"   6"	"    3"	"    3"	"   0"	"  11"	"   0"	"   1"	"   3"	"  47"	"   1"	"   1"	"   0"	"   0"	"   0"	"  17"	"k__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__KtedonobacteriaCL;f__KtedonobacteriaCL;g__KtedonobacteriaCL"
"1675"	"   23"	"  22"	"  13"	"  24"	"  13"	"   6"	"  16"	"   44"	"   22"	"   10"	"   21"	"  20"	"  21"	"  41"	"    2"	"   15"	"  12"	"    5"	"  17"	"    7"	"   15"	"  36"	"  11"	"  42"	"  20"	"  22"	"  19"	"  21"	"  37"	"  17"	"  36"	"  45"	"  30"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"1680"	"   21"	"  60"	"  52"	"  31"	"   3"	"   0"	"   9"	"    6"	"   16"	"   16"	"   10"	"  12"	"  17"	"   2"	"    0"	"    2"	"   0"	"    9"	"   3"	"    8"	"    7"	"   4"	"  12"	"  23"	"  64"	"  74"	"  36"	"   2"	"  11"	"   3"	"   3"	"   2"	"  48"	"k__Bacteria;p__Acidobacteria;c__Acidobacteria (class);o__Acidobacteriales;f__Acidobacteriaceae;g__AcidobacteriaceaeFA"
"1681"	"    0"	"  11"	"  80"	"  53"	"  10"	"   5"	"  23"	"   19"	"    4"	"    0"	"    1"	"   0"	"   0"	"   0"	"    0"	"    1"	"   0"	"    0"	"   0"	"    0"	"    1"	"   0"	"   0"	"   0"	"  49"	"  14"	"  33"	"  13"	"   7"	"   5"	"   3"	"   3"	"  12"	"k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__SphingobacterialesOR;g__SphingobacterialesOR"
"1683"	"    1"	"   2"	"  10"	"  48"	"   0"	"   0"	"   0"	"    2"	"    5"	"    0"	"    1"	"   9"	"   2"	"   0"	"    0"	"    1"	"   7"	"    4"	"   6"	"    0"	"    0"	"   1"	"  10"	"   0"	"   7"	"   3"	"   0"	"   0"	"   0"	"   0"	"   0"	"   0"	"   1"	"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__XanthomonadaceaeFA"
"1686"	"    5"	"  17"	"  14"	"  19"	"   0"	"   0"	"   0"	"    1"	"    1"	"    0"	"    1"	" 107"	" 136"	"   0"	"    0"	"    1"	"   0"	"   25"	"   0"	"    0"	"    0"	"   1"	"   0"	"   0"	"   6"	"   4"	"  21"	"   0"	"   0"	"   0"	"   1"	"   0"	"  13"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__MyxococcalesOR;g__MyxococcalesOR"
"1692"	"   73"	"  27"	"  39"	"  52"	"  12"	"   3"	"   4"	"    5"	"    7"	"    6"	"   49"	"  28"	"  41"	"   0"	"    0"	"    1"	"  32"	"   11"	"   1"	"    1"	"    4"	"   0"	"   1"	"   7"	"  59"	"  59"	"  48"	"   0"	"   4"	"   1"	"   0"	"   1"	"  37"	"k__Bacteria;p__Armatimonadetes;c__CH21;o__CH21CL;f__CH21CL;g__CH21CL"
"1694"	"   13"	"   5"	"   7"	"   6"	"   2"	"   0"	"   0"	"    1"	"   29"	"   94"	"   29"	"  35"	"  24"	"   3"	"   12"	"    7"	" 188"	"  137"	"  13"	"    1"	"   16"	"   4"	"  15"	"   0"	"  12"	"   6"	"   4"	"   0"	"   0"	"   0"	"   0"	"   0"	"  12"	"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Actinomycetales;f__Streptosporangiaceae;g__Microbispora"
"1697"	"    3"	"   8"	"   4"	"   9"	"   1"	"  11"	"   2"	"    3"	"    3"	"    1"	"    2"	"   3"	"   2"	"   0"	"    8"	"    1"	"   2"	"    6"	"   3"	"    1"	"    2"	"   1"	"   6"	"   0"	"   1"	"   5"	"   5"	"   0"	"   1"	"   1"	"   4"	"   6"	"   8"	"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria"
"1699"	"    8"	"   4"	"   6"	"   4"	"   3"	"   2"	"   6"	"   14"	"    6"	"    8"	"    1"	"  51"	"  38"	"   9"	"    1"	"    6"	"   4"	"    8"	"   0"	"    3"	"   25"	"  14"	"   3"	"   3"	"   0"	"   2"	"   2"	"   5"	"  12"	"   8"	"  10"	"   8"	"   1"	"k__Bacteria;p__TM6;c__SJA-4;o__SJA-4CL;f__SJA-4CL;g__SJA-4CL"
"1700"	"    7"	"  22"	"  72"	"  20"	"   5"	"   6"	"  16"	"    3"	"    2"	"    4"	"    0"	"   6"	"   0"	"   0"	"    0"	"    1"	"   0"	"    1"	"   4"	"    0"	"    1"	"   0"	"   3"	"   0"	"  12"	"  12"	"  16"	"   5"	"   2"	"   3"	"   4"	"   0"	"  13"	"k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__MIZ46;f__MIZ46OR;g__MIZ46OR"
"1703"	"    3"	"   9"	"  26"	"  15"	"  56"	"  34"	"  39"	"    4"	"    3"	"    1"	"    3"	"   0"	"   2"	"   2"	"    0"	"   12"	"   5"	"    0"	"   0"	"   32"	"   21"	"  11"	"   1"	" 210"	"   9"	"  12"	"   9"	"  50"	"  83"	"  31"	"  37"	"  24"	"  13"	"k__Bacteria;p__Acidobacteria;c__Solibacteres;o__Solibacterales;f__Solibacteraceae;g__Candidatus Solibacter"
"1704"	"    1"	"  32"	"   1"	"   6"	"   0"	"   0"	"   1"	"    0"	"    2"	"   68"	"    0"	"  86"	"  88"	"   1"	"    0"	"    2"	"   0"	"    4"	"  28"	"    2"	"   22"	"   0"	"  26"	"   0"	"   4"	"   6"	"  76"	"   0"	"   2"	"   0"	"   0"	"   0"	"   5"	"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales"
"1705"	"   11"	"  46"	"  55"	"  86"	"   4"	"   0"	"   5"	"    5"	"    2"	"    2"	"    0"	"   1"	"   1"	"   0"	"    0"	"    1"	"   0"	"    0"	"   0"	"    2"	"    0"	"   0"	"   0"	"   0"	"  14"	"  32"	"  52"	"   2"	"   0"	"   0"	"   4"	"   0"	"  45"	"k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__mle1-12;f__mle1-12OR;g__mle1-12OR"
