OTU_ID	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	Consensus lineage
88	0	0	0	0	0	0	142	14	41	547	14	21	0	4	1	0	0	0	1046	1076	1341	1278	3006	1114	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__Desulfosarcina
89	2	1	5	1	1	6	818	561	780	460	1252	230	6	259	5	16	6	23	632	1193	799	785	1282	450	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Sulfitobacter
90	526	110	428	73	2013	194	0	4	2	0	1	0	352	227	1737	162	1646	220	0	1	1	0	1	1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR
91	762	600	1135	874	872	845	94	119	118	16	276	101	312	404	631	434	688	331	18	10	12	21	29	8	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__RhodobacteraceaeFA
92	0	0	0	1	0	0	3762	1760	3028	169	283	17	0	4	0	0	0	0	110	87	45	40	149	18	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA
93	13	15	111	8	251	268	0	0	8	0	0	1	65	140	255	317	120	253	0	1	419	313	33	458	k__Archaea;p__Euryarchaeota;c__Halobacteria;o__Halobacteriales;f__Halobacteriaceae;g__HalobacteriaceaeFA
94	681	649	808	1341	830	684	5	2	14	1	1	0	310	583	592	324	483	494	0	2	26	24	1	4	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__DesulfuromonadalesOR;g__DesulfuromonadalesOR
95	1358	1064	528	848	1232	734	0	4	4	0	1	0	313	376	690	291	556	361	0	0	2	2	3	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Balneolaceae;g__BalneolaceaeFA
96	0	0	0	0	0	0	14	17	30	592	687	3419	0	1	0	0	0	0	256	479	641	547	1174	1008	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__Desulfobacterium
97	9	36	1046	15	130	37	7	4	10	0	1	0	103	191	1837	104	3752	95	6	1	1	0	2	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Saprospiraceae;g__SaprospiraceaeFA
98	44	72	1038	320	127	34	0	2	3	0	0	1	42	92	788	36	1993	53	0	0	1	0	1	1	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Saprospiraceae;g__SaprospiraceaeFA
99	0	3	0	8	1	2	725	436	1444	46	176	29	0	8	1	3	2	0	1040	1041	823	792	1717	334	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae;g__SinobacteraceaeFA
100	408	360	186	91	201	271	2700	815	1040	113	76	3	35	114	226	105	143	56	468	228	46	47	580	63	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Marinobacter
101	234	307	507	328	449	281	19	2	16	1	2	2	323	495	730	374	958	2018	7	1	32	31	20	21	k__Bacteria;p__Spirochaetes;c__Spirochaetes (class);o__Spirochaetales;f__Spirochaetaceae;g__KSA2
102	208	197	172	119	138	154	614	16	395	7	21	15	233	1348	249	315	142	927	171	153	557	591	543	240	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR
103	0	0	0	0	0	0	578	125	328	81	52	1	0	1	0	0	0	0	1229	1958	886	906	1637	423	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__ChromatialesOR;g__ChromatialesOR
104	16	15	24	23	21	18	0	22	51	2300	78	447	36	72	29	23	26	55	4	217	835	716	261	2538	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR
105	2	1	1	3	2	0	1551	841	1109	288	308	61	1	7	0	2	1	1	1108	873	234	222	1156	93	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__OM60;g__OM60FA
106	0	1	3	4	1	1	177	29	102	81	22	4	0	12	0	0	0	5	988	2249	1060	986	1426	660	k__Bacteria;p__Bacteroidetes;c__Flavobacteria;o__Flavobacteriales;f__Flavobacteriaceae;g__Lutimonas
107	194	295	540	127	207	69	0	0	1	0	0	0	94	103	1561	34	3060	336	1	4	82	49	180	19	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__BacteroidalesOR;g__BacteroidalesOR
108	0	0	0	0	0	0	1	0	0	1	29	7733	0	1	0	0	0	0	0	0	1	2	2	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio
109	1	1	1	2	0	0	0	9	1	0	0	0	2	3	11	6	3	0	8	61	386	312	60	774	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Balneolaceae;g__BalneolaceaeFA
110	4	2	122	17	54	71	2	2	9	21	2	115	81	624	282	54	180	134	356	254	922	934	1351	1062	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Syntrophobacterales;f__Desulfobacteraceae;g__Desulfococcus
111	5	1	0	0	0	0	0	0	0	0	2	7627	0	0	8	0	5	0	1	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio
112	46	80	897	430	110	37	1	0	0	0	0	0	63	142	1416	58	2970	104	0	0	1	0	0	0	k__Bacteria;p__Bacteroidetes;c__Sphingobacteria;o__Sphingobacteriales;f__Saprospiraceae;g__SaprospiraceaeFA
113	265	174	292	563	510	131	0	1	0	0	0	1	584	366	401	250	366	3669	1	0	1	0	0	1	k__Bacteria;p__Thermotogae;c__Thermotogae (class);o__Thermotogales;f__Thermotogaceae
114	3	3	1	0	0	0	4439	517	1964	86	153	24	2	6	2	7	0	3	36	22	48	45	169	27	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfuromonadales;f__Desulfuromonadaceae;g__DesulfuromonadaceaeFA
115	20	19	11	7	20	16	0	29	101	4	582	16	2	28	26	6	12	4	1	14	52	48	3	112	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Chromatiales;f__Ectothiorhodospiraceae;g__EctothiorhodospiraceaeFA
116	680	607	533	607	601	636	1	3	3	1	0	0	565	529	591	574	188	602	0	1	4	5	1	1	k__Bacteria
117	0	0	0	0	0	0	0	0	21	4212	55	90	0	0	0	0	0	0	16	340	22	18	367	2255	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfobacterales;f__Desulfobulbaceae;g__DesulfobulbaceaeFA
