KO	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2
K12311	4.9924	3.4898	5.1246	4.4686	4.4648	4.0472	5.153	4.658	4.4686	4.7428	5.5987	3.5696	3.5887	3.5887	4.099	3.5887	4.1241	4.2529	6.1488	4.6596	4.4409	4.8803	4.4686	3.631
K12313	3.9721	4.624	4.4565	4.099	3.567	3.5305	3.5807	5.0504	4.4686	5.4066	4.4529	4.4686	3.5887	4.1241	4.099	4.1241	4.496	3.688	4.112	3.7068	3.5505	3.9738	4.4686	3.631
K12314	3.9721	3.9928	4.088	5.4086	4.9573	5.0788	4.4846	4.384	4.9612	5.8473	4.4529	4.4686	3.5887	3.5887	4.099	3.5887	4.7729	3.688	4.112	3.7068	4.4409	3.2501	4.099	4.5558
K12316	3.4744	4.3512	3.5612	4.099	4.0955	4.0472	4.1137	4.0222	3.5696	3.5682	3.5587	4.099	3.5887	4.1241	3.5696	4.1241	4.496	3.688	4.112	3.7068	3.5505	3.9738	3.5696	3.631
K12317	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	4.099	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.6643	3.5696	3.631
K12319	4.6001	4.3512	5.3967	4.4686	4.4648	3.5305	5.7151	5.7691	5.2834	5.9737	5.2677	4.099	4.1241	4.7729	4.099	3.5887	3.5887	4.2529	4.112	3.7068	4.4409	4.4283	4.9612	5.0496
K12320	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	4.1137	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12321	3.4744	4.8399	3.5612	3.5696	3.567	3.5305	4.1137	3.5117	3.5696	3.5682	3.5587	3.5696	4.1241	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	4.0737	3.2501	3.5696	3.631
K12322	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	4.099	3.5682	4.0847	3.5696	3.5887	3.5887	3.5696	3.5887	4.1241	3.688	4.112	3.7068	3.5505	3.2501	3.5696	4.1794
K12323	3.9721	4.624	4.7325	5.2834	4.4648	4.6865	5.7151	5.3245	5.4086	4.7428	5.3931	4.7449	4.496	4.7729	4.099	4.9891	4.9891	3.688	4.112	4.6596	5.1087	3.9738	5.6999	4.5558
K12324	3.4744	4.3512	4.088	4.099	3.567	4.0472	4.7613	3.5117	3.5696	3.5682	3.5587	4.099	4.1241	4.1241	3.5696	4.9891	3.5887	3.688	5.1511	4.2767	4.4409	3.6643	4.099	4.5558
K12327	3.9721	3.4898	3.5612	3.5696	4.0955	4.0472	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	4.1241	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12329	3.4744	3.4898	3.5612	4.099	3.567	3.5305	3.5807	3.5117	4.099	3.5682	3.5587	4.099	3.5887	3.5887	3.5696	3.5887	4.1241	3.688	4.112	4.2767	3.5505	3.2501	3.5696	3.631
K12338	3.4744	4.3512	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12339	10.149	10.112	9.8861	9.8888	10.018	10.252	9.665	9.9089	9.7294	9.7804	9.6692	9.6771	10.343	10.07	9.7674	9.9555	9.7525	9.6427	5.7913	9.3495	9.4887	9.3925	9.7799	9.1539
K12340	10.722	10.504	10.474	10.423	10.59	10.944	10.12	10.4	10.27	10.459	10.374	10.604	11.398	11.345	11.26	11.519	10.953	10.945	8.2088	9.4864	10.844	10.715	11.117	10.491
K12341	3.4744	3.9928	4.088	3.5696	4.4648	3.5305	3.5807	4.0222	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	4.2767	3.5505	4.7508	4.099	3.631
K12342	3.4744	3.4898	3.5612	3.5696	3.567	4.4116	4.1137	3.5117	3.5696	3.5682	4.0847	4.099	4.7729	3.5887	3.5696	3.5887	4.496	3.688	4.112	3.7068	4.0737	3.2501	4.4686	3.631
K12343	7.9784	7.996	7.9349	8.0781	7.8705	7.7951	8.5368	8.6743	8.6403	8.6601	8.6527	8.1203	6.2959	7.8549	6.7459	6.7207	5.64	6.2373	6.5973	6.5992	6.8575	6.8326	6.6685	6.8276
K12344	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	4.384	3.5696	3.5682	4.0847	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12345	3.4744	3.4898	4.4565	3.5696	3.567	4.0472	3.5807	3.5117	3.5696	3.5682	3.5587	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12346	3.4744	3.4898	4.088	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12347	3.4744	4.3512	3.5612	4.099	3.567	4.6865	4.7613	4.0222	4.099	4.0971	3.5587	3.5696	4.496	3.5887	3.5696	3.5887	4.1241	3.688	6.5364	3.7068	4.0737	4.7508	4.099	4.1794
K12348	4.3281	4.624	4.7325	4.099	4.0955	3.5305	4.4846	4.384	3.5696	3.5682	4.4529	4.4686	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.6643	4.099	5.3694
K12349	7.4694	7.3657	7.5756	7.3596	7.5209	7.1956	7.744	7.6709	7.7457	7.6631	7.7723	7.4339	6.0011	6.2959	6.3503	6.6096	6.5165	4.9129	5.1511	6.0902	6.7442	6.8831	6.4234	6.7765
K12350	4.9924	5.1646	4.088	3.5696	4.4648	4.0472	3.5807	3.5117	3.5696	3.5682	4.0847	4.099	3.5887	3.5887	3.5696	3.5887	4.1241	3.688	4.112	3.7068	4.4409	3.2501	3.5696	3.631
K12351	6.2919	6.1611	6.0744	5.5175	6.0289	4.0472	4.7613	4.384	3.5696	3.5682	4.4529	4.099	3.5887	3.5887	4.099	3.5887	4.496	3.688	4.112	3.7068	4.0737	3.2501	3.5696	4.8337
K12354	3.4744	5.0165	4.9488	3.5696	4.0955	4.4116	3.5807	4.658	5.1368	3.5682	3.5587	3.5696	4.1241	4.7729	5.7779	5.9403	3.5887	3.688	5.1511	3.7068	3.5505	3.2501	4.099	3.631
K12355	3.4744	4.3512	5.3967	4.099	4.0955	4.6865	4.4846	4.0222	4.099	4.4666	3.5587	3.5696	4.1241	4.1241	3.5696	4.9891	3.5887	3.688	4.112	3.7068	4.0737	3.6643	4.099	3.631
K12356	3.4744	4.3512	3.5612	3.5696	4.0955	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12357	3.4744	3.4898	3.5612	3.5696	4.0955	3.5305	3.5807	4.0222	3.5696	3.5682	4.0847	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.7594	3.7068	3.5505	3.2501	3.5696	4.1794
K12362	3.4744	3.4898	3.5612	3.5696	3.567	4.0472	3.5807	3.5117	4.099	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	4.1794
K12364	3.4744	3.4898	3.5612	3.5696	3.567	4.0472	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12365	3.4744	3.9928	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12366	3.4744	3.4898	4.4565	3.5696	4.0955	4.0472	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12368	8.8324	9.047	9.0901	8.5159	8.9378	8.4683	8.1482	8.3206	8.0469	8.0385	8.2477	7.8591	8.0993	8.0868	8.962	7.9163	7.634	8.0217	7.1571	7.1655	7.9672	8.402	7.9677	7.8647
K12369	8.4078	8.4245	8.5275	8.0212	8.4223	7.9643	7.5824	7.8697	7.8591	7.6724	7.5721	7.6074	7.5831	7.2623	8.9247	8.5154	7.6634	8.0818	4.112	7.2034	8.038	8.5959	7.9328	7.2586
K12370	8.3271	8.2865	8.5195	7.8437	8.4701	8.1422	8.1364	8.2224	8.4994	8.2718	8.2528	8.0014	8.2864	7.974	8.7924	8.8797	8.3222	7.7577	5.6274	7.7086	7.9739	8.5803	8.348	7.7214
K12371	8.4	8.3722	8.5786	7.8201	8.3345	7.6459	7.3621	7.3516	7.3467	7.3182	7.2916	7.1105	7.2475	7.2324	8.1834	7.5935	7.3466	7.3642	5.4225	6.634	7.3329	7.9744	7.5772	7.0284
K12372	8.2217	8.3597	8.4003	7.5974	8.2337	7.862	7.2944	7.375	7.3467	7.2486	7.4537	6.9049	7.386	7.5511	8.6944	7.6038	7.2475	8.0061	5.7913	6.5992	7.5902	8.3429	8.4826	6.9661
K12373	9.8398	9.6452	9.703	10.221	9.8854	10.295	10.506	10.601	10.574	10.654	10.513	10.531	9.9807	9.9876	9.9116	9.883	9.6654	9.2301	8.7061	8.7501	10.057	9.6033	10.209	9.9215
K12374	4.9924	5.8652	5.1246	5.2834	4.4648	4.4116	4.9775	4.8741	5.4086	4.4666	5.1209	5.1368	3.5887	4.1241	4.099	4.1241	3.5887	3.688	4.112	4.6596	4.0737	4.2224	4.7449	4.8337
K12375	6.3593	5.9223	6.6017	6.1356	6.3841	4.9027	5.8642	5.8963	5.8492	5.9737	5.685	5.9148	4.496	4.496	5.5175	4.7729	3.5887	4.6343	5.1511	4.9383	5.6735	6.3052	5.6138	5.2241
K12376	4.9924	5.2913	5.1246	6.2279	5.5138	5.7955	6.3261	5.9533	6.4234	6.5821	6.6803	6.2279	5.3106	3.5887	5.4086	4.9891	5.1644	4.2529	5.6274	5.9548	5.8889	5.5376	5.6999	5.2241
K12378	3.4744	3.9928	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	4.099	3.631
K12379	3.4744	3.4898	3.5612	3.5696	4.0955	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12380	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	4.0222	3.5696	3.5682	3.5587	4.099	3.5887	3.5887	3.5696	3.5887	4.1241	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12381	4.8158	3.4898	4.7325	3.5696	4.741	3.5305	3.5807	4.0222	4.7449	3.5682	4.7288	3.5696	3.5887	3.5887	3.5696	4.1241	4.1241	3.688	4.112	4.6596	3.5505	4.4283	3.5696	4.5558
K12382	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	4.658	4.4686	3.5682	3.5587	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	4.6596	3.5505	4.4283	3.5696	3.631
K12384	4.6001	3.9928	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	4.099	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	6.4007	3.7068	4.0737	3.6643	3.5696	4.8337
K12385	5.4764	4.3512	5.8378	4.099	5.5138	5.0788	5.2993	5.5317	4.4686	4.9591	5.7631	4.7449	4.1241	4.1241	3.5696	3.5887	3.5887	3.688	4.112	4.2767	5.4905	4.8803	5.8492	4.8337
K12386	3.4744	3.4898	3.5612	4.4686	4.0955	3.5305	4.1137	4.658	4.4686	3.5682	3.5587	4.4686	4.496	3.5887	4.099	3.5887	3.5887	3.688	6.7083	3.7068	4.0737	5.0959	4.099	4.5558
K12388	3.4744	3.4898	4.088	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12389	3.4744	3.4898	4.7325	4.4686	4.0955	4.4116	3.5807	3.5117	4.099	3.5682	4.7288	3.5696	3.5887	3.5887	3.5696	3.5887	4.1241	3.688	4.7594	3.7068	4.0737	3.2501	3.5696	3.631
K12391	5.3785	4.624	4.9488	4.7449	3.567	4.0472	5.153	5.1981	4.9612	5.2814	5.5987	4.9612	3.5887	3.5887	4.4686	4.1241	4.7729	4.2529	6.4007	5.5922	4.9328	5.2697	4.9612	5.3694
K12392	5.1408	5.1646	5.3967	4.9612	4.9573	3.5305	4.7613	5.5317	5.1368	4.0971	5.2677	4.7449	4.1241	4.1241	4.099	3.5887	4.9891	4.2529	4.112	5.3261	5.4905	5.6937	4.9612	4.1794
K12393	4.8158	4.3512	4.7325	5.1368	4.741	3.5305	5.4243	4.384	3.5696	3.5682	4.4529	4.099	3.5887	3.5887	3.5696	4.1241	4.496	4.6343	4.112	4.9383	5.2557	5.4143	4.099	4.8337
K12394	3.9721	4.3512	3.5612	3.5696	3.567	3.5305	3.5807	4.384	3.5696	3.5682	4.0847	3.5696	3.5887	4.1241	4.099	3.5887	3.5887	4.2529	4.7594	5.1532	4.0737	3.2501	4.9612	4.5558
K12396	4.8158	4.3512	4.4565	5.4086	4.0955	4.4116	5.4243	4.658	4.099	4.0971	5.1209	4.4686	3.5887	3.5887	4.099	3.5887	3.5887	3.688	6.3244	4.9383	4.0737	4.7508	4.099	5.0496
K12397	5.3785	4.624	5.1246	4.7449	5.2796	4.4116	4.7613	5.3245	4.099	6.4215	5.5987	4.9612	4.1241	4.1241	4.099	3.5887	4.1241	3.688	5.928	5.7933	4.7165	5.4782	4.9612	3.631
K12398	4.6001	3.9928	4.7325	4.099	3.567	3.5305	4.4846	4.0222	4.7449	3.5682	4.0847	4.099	3.5887	3.5887	4.099	3.5887	3.5887	4.2529	4.112	3.7068	4.0737	3.2501	3.5696	3.631
K12399	4.3281	3.4898	4.088	4.099	3.567	3.5305	4.1137	4.0222	4.099	4.0971	4.7288	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12400	4.9924	4.3512	5.1246	4.9612	4.741	3.5305	5.533	5.3245	4.4686	4.4666	4.9452	4.099	4.1241	3.5887	3.5696	4.1241	4.1241	3.688	6.6545	4.6596	4.0737	5.593	4.4686	4.5558
K12401	4.3281	3.4898	4.088	4.4686	3.567	3.5305	3.5807	3.5117	4.4686	4.4666	4.4529	4.4686	3.5887	3.5887	3.5696	3.5887	4.1241	3.688	4.112	5.1532	4.9328	4.7508	3.5696	5.3694
K12402	3.9721	3.4898	4.4565	3.5696	4.0955	4.9027	4.1137	4.0222	4.099	4.4666	4.7288	4.4686	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	7.1571	5.3261	4.9328	5.593	4.4686	5.2241
K12403	3.9721	3.9928	4.088	3.5696	3.567	3.5305	4.4846	4.384	3.5696	4.0971	4.0847	4.7449	3.5887	3.5887	4.099	3.5887	3.5887	3.688	4.112	4.6596	3.5505	5.1871	4.4686	4.5558
K12405	8.0015	8.2032	8.1877	7.8591	7.8321	7.7718	7.9343	8.1356	7.7877	7.544	8.0055	7.904	5.4354	6.7961	6.985	7.2475	5.8037	5.6753	7.0175	5.6989	6.0066	6.9074	6.4579	6.7225
K12406	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	4.099	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12408	5.2678	5.6656	5.9035	5.2834	4.9573	5.4618	5.533	5.7691	5.4086	5.9737	5.2677	5.2834	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	4.2767	3.5505	3.9738	3.5696	3.631
K12409	3.4744	3.4898	3.5612	4.7449	4.4648	4.0472	4.1137	4.0222	3.5696	4.4666	4.4529	4.099	3.5887	4.496	3.5696	3.5887	3.5887	3.688	4.112	4.2767	4.0737	3.6643	4.099	4.1794
K12410	10.74	10.676	10.61	10.392	10.582	10.644	10.753	10.922	10.989	11.01	10.92	10.83	11.442	11.458	11.503	11.464	10.886	10.769	8.2306	10.185	10.914	10.938	11.11	10.586
K12411	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	4.0222	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.6643	3.5696	3.631
K12417	3.9721	3.4898	4.088	5.2834	4.9573	4.0472	4.1137	4.0222	3.5696	3.5682	4.7288	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	4.099	3.631
K12418	4.9924	3.4898	4.7325	4.4686	3.567	3.5305	4.1137	4.8741	3.5696	3.5682	4.0847	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	4.2767	4.4409	3.6643	4.099	3.631
K12420	5.9537	6.3812	5.9035	6.4234	6.5506	6.0827	6.9201	7.3276	7.3335	6.9636	7.0259	6.5231	3.5887	4.496	4.7449	4.496	4.496	3.688	4.112	4.2767	5.4905	5.1871	4.099	5.4934
K12421	5.7816	6.3137	6.0212	6.6685	6.9422	6.438	6.2427	6.3088	6.2706	5.8473	6.4765	4.4686	3.5887	4.496	3.5696	3.5887	3.5887	3.688	4.112	4.9383	4.9328	5.7398	4.099	5.782
K12422	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	4.1241	3.5887	3.688	4.112	3.7068	3.5505	3.2501	4.099	3.631
K12423	4.8158	4.624	5.3967	4.4686	5.2796	5.2262	3.5807	4.8741	4.099	4.7428	3.5587	3.5696	4.1241	4.1241	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.6643	4.099	3.631
K12424	4.6001	5.8038	5.1246	6.0856	6.3468	4.9027	4.4846	3.5117	4.099	4.0971	3.5587	4.4686	3.5887	3.5887	3.5696	4.1241	3.5887	3.688	4.112	3.7068	3.5505	3.6643	4.099	3.631
K12426	5.5639	5.9223	5.9644	4.7449	5.9113	5.7239	4.4846	5.7691	5.4086	3.5682	4.4529	5.4086	4.1241	3.5887	4.7449	4.496	3.5887	3.688	4.112	4.6596	4.0737	4.8803	5.2834	4.1794
K12427	4.3281	3.9928	4.088	4.9612	5.133	4.4116	4.1137	4.0222	3.5696	4.0971	4.7288	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	4.9328	4.2224	3.5696	3.631
K12428	5.5639	6.2407	6.0212	6.0324	6.5506	6.175	5.793	5.8352	5.4086	5.1347	5.5987	5.2834	4.1241	4.1241	5.2834	4.7729	4.496	3.688	4.7594	4.6596	4.4409	3.6643	4.099	4.8337
K12429	6.5621	6.6097	6.6017	5.7779	6.5805	5.9224	5.153	5.7691	5.2834	5.4066	5.5023	5.5175	4.496	4.1241	4.099	3.5887	4.7729	3.688	4.7594	4.2767	5.1087	4.602	3.5696	3.631
K12430	4.8158	4.3512	5.1246	4.9612	5.5138	4.0472	4.9775	4.0222	3.5696	4.4666	4.0847	4.7449	3.5887	4.1241	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	4.8337
K12431	4.3281	5.9757	6.0212	5.9148	5.2796	4.6865	5.4243	5.3245	5.2834	5.1347	4.7288	4.099	4.1241	3.5887	4.099	3.5887	4.496	3.688	4.112	4.6596	4.4409	5.1871	4.7449	4.5558
K12432	3.4744	4.3512	4.7325	5.2834	6.4199	6.175	4.1137	3.5117	3.5696	3.5682	4.0847	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	4.0737	3.6643	3.5696	3.631
K12433	5.7816	6.6827	6.8286	6.4579	6.962	6.808	5.8642	6.2715	5.7779	5.9129	6.071	5.2834	4.9891	4.1241	5.4086	4.7729	4.1241	3.688	4.112	5.1532	5.7517	5.6449	4.099	5.2241
K12434	5.843	5.9223	6.6571	6.3503	7.1399	7.7151	5.7151	4.658	5.1368	4.9591	5.5987	3.5696	4.1241	3.5887	4.4686	4.1241	4.1241	3.688	4.112	3.7068	3.5505	4.2224	4.099	4.5558
K12435	3.9721	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12436	9.4761	10.045	9.961	9.4791	9.9906	10.31	9.2131	9.0635	8.9535	8.8095	9.2158	8.6477	7.634	7.6439	8.1944	7.7725	8.0353	7.3332	5.7913	7.5681	8.2041	8.4455	7.8514	8.2713
K12437	6.2561	6.5306	6.4122	6.2706	7.1069	6.5008	5.8642	5.8963	5.9148	6.0305	6.1685	5.4086	4.496	4.7729	4.4686	5.3106	4.7729	5.4455	6.0455	4.2767	4.9328	5.4782	5.1368	5.0496
K12440	4.9924	6.1611	6.9141	5.8492	6.5506	6.5008	5.2993	5.3245	4.4686	5.5155	4.7288	4.099	4.1241	3.5887	4.099	4.496	4.1241	4.6343	9.253	3.7068	3.5505	3.6643	4.7449	4.1794
K12441	5.7152	5.6656	6.1718	6.0856	6.7423	6.175	5.2993	5.9533	4.7449	5.6118	4.9452	4.099	3.5887	4.9891	4.7449	4.1241	4.9891	4.6343	4.7594	4.2767	4.0737	4.2224	3.5696	4.5558
K12442	6.5621	6.7283	6.7827	6.183	7.0727	6.6414	5.6291	5.9533	5.6999	5.6118	5.8345	5.7779	3.5887	4.1241	5.6138	5.1644	4.496	4.2529	4.112	5.1532	5.1087	5.8643	4.9612	5.3694
K12443	6.8111	7.1511	7.2244	6.9656	7.4766	7.0217	6.2427	6.444	6.5541	6.456	6.6538	6.3503	5.544	5.1644	5.6999	5.64	5.3106	6.0022	5.1511	5.8779	5.6735	6.3052	6.2706	6.1127
K12444	6.3912	6.4737	6.7094	6.3503	6.6649	6.7634	5.2993	5.7691	5.9148	5.776	5.685	5.7779	4.9891	4.1241	4.4686	4.9891	5.1644	5.5683	4.112	3.7068	4.9328	4.8803	4.4686	4.8337
K12445	3.9721	3.4898	4.088	3.5696	3.567	3.5305	3.5807	3.5117	3.5696	3.5682	4.0847	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12446	7.1564	7.5404	7.4572	7.4339	7.3938	7.6186	7.0916	7.442	7.7627	7.5853	7.6953	7.385	7.2475	7.4484	7.1596	7.5402	7.0849	6.0022	5.4225	6.0902	7.1795	6.6777	7.1753	6.7499
K12447	6.8689	6.1611	6.5119	5.9756	5.5138	6.0827	7.074	6.4749	6.3876	6.3094	6.7311	6.0856	6.1609	6.6386	5.2834	5.3106	6.2083	5.3014	4.112	6.1507	6.6947	6.3052	6.8173	6.5718
K12448	8.3313	8.1837	8.4825	8.1944	8.3345	7.9246	8.2696	8.1514	7.9813	7.9994	8.2425	7.6367	7.2912	7.0849	7.7794	7.6038	7.6038	7.0399	4.7594	6.8992	7.8544	7.7946	7.7794	7.4814
K12449	6.3912	6.4439	6.8723	6.1356	6.4199	5.6454	6.4024	6.3789	6.5541	6.1338	5.8345	6.183	6.3366	7.4239	6.4911	6.3756	6.3756	5.9317	4.7594	6.4027	6.2449	6.0983	6.6412	5.3694
K12450	6.7281	6.5577	6.6836	6.4234	6.7172	6.9112	6.599	6.4121	5.9148	6.3484	6.4089	6.1356	6.3756	6.0011	6.9656	6.7716	6.9515	6.7671	7.0899	6.5256	6.9961	7.4546	6.84	7.1054
K12451	6.18	6.3137	6.1245	6.183	6.0289	5.7239	5.6291	5.7691	5.8492	5.698	5.8345	5.5175	5.7259	6.0577	6.5231	7.03	6.3756	6.1277	6.7083	5.9548	6.5871	6.7654	6.3113	6.308
K12452	8.719	8.8336	8.8049	8.8951	8.9087	9.2471	9.0246	8.938	9.0416	8.9048	9.2066	8.6477	8.597	8.7132	8.6586	8.6769	8.3713	7.7059	5.928	8.3589	8.6889	8.5781	8.7359	8.3781
K12453	4.3281	3.9928	3.5612	4.4686	4.741	4.6865	4.1137	5.1981	5.6999	4.7428	5.5023	4.7449	5.3106	4.7729	4.4686	5.1644	3.5887	3.688	4.112	3.7068	5.1087	4.2224	5.2834	4.8337
K12454	9.4777	9.3595	9.3817	9.3336	9.4591	9.1609	9.2035	9.1887	9.3208	9.3586	9.3299	9.0835	8.5281	8.5488	8.9564	8.8158	8.6204	8.0597	6.7083	8.9608	8.9835	8.6746	8.8402	8.3045
K12455	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	3.5807	4.0222	3.5696	4.4666	3.5587	3.5696	3.5887	4.1241	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	3.5696	3.631
K12460	6.18	5.8652	5.6884	6.2279	5.6963	4.9027	6.1504	6.5047	6.0856	6.4215	6.2561	6.3113	6.0011	5.1644	5.4086	5.544	5.3106	5.8547	4.7594	4.2767	6.0599	5.6449	4.9612	5.2241
K12462	3.4744	3.9928	4.088	4.099	3.567	4.0472	3.5807	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	4.1241	3.688	4.112	3.7068	3.5505	3.2501	4.099	3.631
K12466	5.9537	6.2018	6.2594	6.6685	6.2671	6.4048	5.533	6.2715	5.6999	6.0305	6.0178	5.6138	4.1241	4.7729	5.4086	4.9891	5.3106	4.2529	4.112	5.3261	5.5871	5.6937	4.099	4.8337
K12468	3.4744	3.4898	3.5612	4.099	4.0955	4.0472	3.5807	3.5117	4.099	4.0971	4.0847	4.099	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	4.2767	3.5505	3.2501	3.5696	3.631
K12469	3.4744	3.4898	3.5612	3.5696	3.567	4.0472	3.5807	4.0222	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	4.099	3.631
K12470	3.4744	3.4898	3.5612	3.5696	3.567	3.5305	4.1137	3.5117	3.5696	3.5682	3.5587	3.5696	3.5887	3.5887	3.5696	3.5887	3.5887	3.688	4.112	3.7068	3.5505	3.2501	4.099	3.631
K12471	3.4744	4.8399	4.4565	3.5696	4.9573	4.4116	4.1137	4.8741	3.5696	3.5682	4.4529	3.5696	3.5887	3.5887	3.5696	4.1241	3.5887	3.688	6.4007	3.7068	3.5505	4.4283	4.099	4.1794
K12472	5.3785	6.1611	4.4565	5.4086	4.9573	5.4618	3.5807	4.384	4.4686	4.4666	5.1209	4.9612	7.1197	7.3731	3.5696	4.496	5.8037	5.1282	4.112	4.2767	5.9498	4.7508	6.2279	3.631
