KO	R2A_A_D1	R2A_A_D2	R2A_B_D1	R2A_B_D2	R2A_C_D1	R2A_C_D2	SF2_A_D1	SF2_A_D2	SF2_B_D1	SF2_B_D2	SF2_C_D1	SF2_C_D2	R1_A_D1	R1_A_D2	R1_B_D1	R1_B_D2	R1_C_D1	R1_C_D2	R2_A_D1	R2_A_D2	R2_B_D1	R2_B_D2	R2_C_D1	R2_C_D2
K03391	6.2189	6.7283	6.6836	5.9148	6.8138	6.1301	4.7613	5.6187	5.8492	4.0971	4.7288	5.2834	4.496	4.7729	4.9612	4.1241	5.3106	4.2529	5.1511	3.7068	5.1087	4.4283	5.9756	4.8337
K03392	9.8231	10.538	10.497	10.338	10.664	10.29	8.9454	9.311	9.2226	9.3916	9.2135	9.697	8.8734	8.8577	9.34	9.3767	8.7096	8.8475	6.1488	7.8873	8.9699	8.9547	9.0336	8.8303
K03394	8.4233	8.7235	8.753	8.3432	8.5562	8.4272	8.3205	8.5354	8.5483	8.4634	8.462	8.3042	8.987	8.961	9.2969	8.8449	8.5154	8.8475	5.928	11.58	8.8675	8.8735	8.7222	8.5949
K03395	7.0237	7.3657	7.1319	6.6131	6.0289	5.7955	4.7613	5.0504	4.9612	4.9591	4.7288	4.9612	5.4354	5.544	6.0856	6.2083	5.8037	5.6753	4.112	4.9383	6.2022	5.4143	6.1356	5.2241
K03396	6.6369	7.3544	6.8723	6.183	7.0899	6.6414	4.1137	5.5317	5.1368	5.5155	5.1209	6.2279	4.1241	4.496	4.4686	5.3106	4.496	3.688	4.112	4.2767	5.2557	5.4782	5.4086	5.4934
K03399	6.2919	7.5404	6.9343	6.7459	6.9013	6.5008	5.4243	6.1042	5.9756	6.6393	6.2134	6.6131	8.2916	8.7724	8.6944	7.9456	8.0017	8.1792	5.7913	10.869	7.8086	7.9547	7.279	7.5179
K03400	3.9721	3.9928	3.5612	4.099	4.0955	4.6865	3.5807	4.658	4.099	4.0971	4.0847	3.5696	3.5887	3.5887	3.5696	3.5887	4.1241	3.688	4.112	4.6596	5.1087	5.0959	4.099	4.1794
K03402	8.607	8.1386	8.1711	8.7528	8.798	9.112	8.1656	8.5894	8.2428	8.4196	8.2579	8.6766	9.4186	9.5652	9.0147	9.5909	8.7449	8.4736	5.928	7.8408	8.495	9.0493	8.8213	8.8165
K03403	9.8852	8.7235	9.7062	7.0587	7.8003	6.7165	7.9271	8.1567	8.319	8.3363	8.012	7.6172	10.004	9.7989	10.983	10.662	10.119	10.156	8.1167	9.0574	10.03	10.703	10.24	9.9966
K03404	9.5248	8.8984	9.3043	8.5282	8.6026	8.7495	9.0163	9.0442	9.4123	9.3814	9.0527	9.0147	9.6757	9.5726	10.509	10.126	9.8666	10.02	8.2088	11.847	9.7769	10.363	9.8014	9.5453
