binID	SF2_A_D1	SF2_A_D2	SF2_A_H2O	SF2_B_D1	SF2_B_D2	SF2_B_H2O	SF2_C_D1	SF2_C_D2	SF2_C_H2O	R1_A_D1	R1_A_D2	R1_A_H2O	R1_B_D1	R1_B_D2	R1_B_H2O	R1_C_D1	R1_C_D2	R1_C_H2O	R2A_A_D1	R2A_A_D2	R2A_A_H2O	R2A_B_D1	R2A_B_D2	R2A_B_H2O	R2A_C_D1	R2A_C_D2	R2A_C_H2O	R2_A_D1	R2_A_D2	R2_A_H2O	R2_B_D1	R2_B_D2	R2_B_H2O	R2_C_D1	R2_C_D2	R2_C_H2O	R2_restored_C_black	R2_restored_DShore	R2_restored_H2O
R1_C_D2_metabat.58	-6.0473	-5.2529	-4.3662	-7.8186	-4.3017	-1.4594	-3.3617	-4.0705	-2.1609	8.0475	8.1954	2.8693	5.5499	11.268	0.73605	9.1749	11.648	8.8391	-5.8355	-5.2231	-2.8881	-0.9033	-2.1874	-4.0294	-3.1564	-2.8968	-4.6606	11.242	7.0645	2.2389	6.7036	9.6528	1.5983	3.2236	5.6384	1.7223	-4.7278	-2.1106	-1.674
R1_C_H2O_concoct.16	-6.0473	-7.0187	-2.7124	-5.2639	-3.3809	-1.755	-6.6966	-4.516	-1.0762	11.256	12.87	7.4564	10.092	11.835	2.7599	8.8439	9.5779	12.861	-6.0451	-2.2252	-3.1355	0.28684	-1.5499	-2.8225	-2.7973	-2.0512	-4.5491	14.636	11.56	1.6931	8.9743	12.28	1.8422	4.3349	7.7574	5.1456	2.5232	0.98155	1.5282
R1_C_H2O_concoct.67	2.4232	2.0157	1.8392	0.70236	0.80739	0.24608	1.2488	0.52932	1.254	2.391	3.584	16.65	1.9783	3.2558	16.637	2.1737	1.9742	15.002	1.5769	3.3572	8.6642	3.1392	2.5416	3.5782	3.7455	4.1587	2.483	1.2322	14.547	22.041	2.4998	1.5396	21.727	4.1214	5.627	20.926	2.1298	6.1895	3.2118
R1_C_H2O_concoct.79	4.141	4.0105	5.9792	4.3365	3.6932	7.1194	3.9099	3.0318	6.5181	11.254	11.755	16.847	11.5	10.897	17.096	10.118	10.87	14.738	7.752	6.42	9.1384	6.6877	4.9531	8.3232	5.3209	3.8804	7.9987	8.2348	6.1222	6.4045	8.2472	8.9966	6.0976	10.714	6.8775	5.2797	11.852	4.0409	8.295
R1_C_H2O_metabat.23	-0.8425	-0.95209	-0.026344	-1.7299	-2.3474	-0.6571	-1.6028	-2.2155	1.6331	0.038101	-0.13336	17.823	-1.2251	-0.74651	17.406	-0.77836	-1.1485	16.315	-0.63821	-0.10717	1.6219	-0.72836	-1.2193	-0.92262	-0.63894	-0.25817	-1.1466	-2.1458	7.0756	17.937	-1.621	-1.3019	17.483	-0.10247	-0.93209	16.458	-1.0472	0.49774	6.6279
R1_C_H2O_metabat.29	-10.307	-1.796	5.3579	-0.52011	0.61232	3.6371	-2.5422	1.7566	9.1139	0.34033	-0.56726	22.178	-0.043899	0.21902	22.266	1.7054	0.13828	21.164	-0.089256	-0.93437	0.57716	-2.7545	-3.2774	0.85768	-2.2858	-2.6783	-0.85506	-1.5672	4.0519	15.689	-1.1226	-1.4618	14.401	-0.66566	-2.2798	13.815	-2.5826	-0.022773	9.7965
R2A_A_D1_concoct.24	3.8963	4.8565	0.32996	2.6628	3.4282	0.55256	4.2163	2.2284	0.48812	-5.1169	-5.5744	-4.4958	-2.4824	-3.049	-4.8775	-4.5875	-3.2488	-5.2727	18.841	13.282	-0.51521	11.078	7.719	2.3875	8.9711	10.116	4.4961	-3.8093	-3.8762	-4.6891	-4.0885	-2.7217	-3.2309	-3.9356	-4.5934	-3.8248	-3.4891	-0.44072	15.355
R2A_A_D1_concoct.42	6.114	3.9304	5.9629	2.1782	1.4528	6.9294	3.6978	1.5294	6.0099	1.3194	3.2419	-3.4373	-0.51175	0.25225	-3.7472	-1.3059	1.0187	-2.5969	17.874	12.529	4.94	11.209	6.4691	13.211	9.1382	8.7731	11.899	-1.4623	-1.2126	-1.7512	-1.6682	-1.1861	0.72442	-2.0481	-1.205	-3.8248	-0.26839	-0.99037	6.8789
R2A_A_D1_concoct.46	10.893	7.5626	9.4105	4.6185	3.6164	4.8432	6.0258	0.49287	4.0136	-9.178	-8.603	-8.2864	-8.2483	-8.156	-10.807	-9.8895	-9.4262	-10.335	19.227	17.306	0.51321	17.132	15.064	8.8996	13.792	14.874	12.008	-12.747	-9.4906	-1.1422	-11.92	-11.788	-5.3326	-11.893	-10.061	-6.0307	-7.6948	-5.9769	8.3838
R2A_A_D1_concoct.50	6.4838	6.5425	9.392	6.322	5.0291	10.629	5.9874	3.786	10.509	-3.2618	-2.2962	-2.8601	-3.5367	-2.9953	-3.2395	-5.2406	-3.9701	-5.4212	16.336	7.2928	12.834	5.3355	4.1729	13.163	4.2234	3.5043	12.682	-3.7035	-2.8157	0.32445	-4.5961	-2.9694	-1.7198	-2.823	-2.9479	-0.92522	-1.3951	-3.0041	3.7472
R2A_A_D1_concoct.51	9.4412	7.6527	5.6942	8.2143	7.0509	4.2786	8.0251	5.6243	3.975	-2.2017	-2.1924	-4.0178	-1.971	-1.8699	-3.6826	-2.0737	-2.4793	-3.985	18.599	14.053	1.4557	16.594	10.191	8.6392	11.037	10.034	9.7828	-2.487	-2.0447	-2.6604	-2.3182	-1.803	-3.2309	-1.3706	-3.1709	-6.0307	0.074475	-1.9323	8.0855
