	New_index	Sample_name	Sample	Site	Core	Depth	Restoration	Hydrol	Date	Lat	Long	Salinity	Cond_uS_cm	Temp	DO_perc	DO_mg_L	Redox	pH_YSI	CH4_umol_m2_d	CO2_umol_m2_d	CH4_CO2	CH4_pos	CH4_CO2_pos	pH	Cl	SO4_S	TOC	OM_LOI	C_Org_LOI	CaCO3	C	N	P	CN	CP	NP	NO3	NH4	Olsen_P	NP_ext	NO3_NH4	K_ppm	K_meq	Na_ppm	Na_meq	Ca	Mg	Zn	Mn	Cu	Fe	CH4_m2_lin	CO2_m2_lin	Salinity_lin	pH_lin	NP_ext_lin	NP_lin	Cl_lin
14	15	unrestored_R1_B_D1	R1_B_D1	R1	B	D1	Salt_Pond	Pond 	7/11/14	37.496812	-122.13337	2.1690863574870227	5.246015763089705	1.3979400086720377	1.5774917998372253	0.13033376849500614		0.8668778143374989	3.1294095077930724	5.541245969804628	-2.4118364620115558	3.137395259773097	-2.4028574370174476	0.8825245379548805	3.479143247978613	3.4765418090274287	0.5514499979728752	0.9973863843973133	0.7604224834232121	0.34242268082220617	0.6324572921847242	-0.3142582613977364	-1.0555173278498313	0.9324742210509489	2.018385452867829	1.08591123181688	0.08990511143939793	2.6946578374987995	1.6711728427150832	4.096367472923949	-2.6047527260594014	3.563599728881531	0.9712758487381052	4.721810615212546	2.3602146132953523	1.850033257689769	1.6503075231319364	1.0374264979406236	2.1983821300082944	0.3222192947339193	1.9556877503135057	1347.13	347733.05	147.6	7.63	12484.394190891568	12.187404674286231	3014
15	16	unrestored_R1_B_D2	R1_B_D2	R1	B	D2	Salt_Pond	Pond 	7/11/14	37.496812	-122.13337	2.1690863574870227	5.246015763089705	1.3979400086720377	1.5774917998372253	0.13033376849500614		0.8668778143374989	3.1294095077930724	5.541245969804628	-2.4118364620115558	3.137395259773097	-2.4028574370174476	0.8591382972945308	3.6261349786353887	3.4095950193968156	0.4712917110589386	0.9068735347220704	0.670245853074124	0.23552844690754884	0.5301996982030822	-0.3893398369101201	-1.1023729087095586	0.9273975096493959	1.9850827468136196	1.0576852371642236	0.5932860670204573	2.735830355289489	1.6618126855372612	4.186434482640619	-2.1425442882690318	3.6217992240026677	1.0297894708318556	4.795880017344075	2.4344092075875	1.697926444806505	1.670245853074124	0.9956351945975499	2.2427898094786767	0.3979400086720376	1.8401060944567578	1347.13	347733.05	147.6	7.23	15361.530328868113	11.420503129990157	4228
16	17	unrestored_R1_C_D1	R1_C_D1	R1	C	D1	Salt_Pond	Pond	7/11/14	37.497168	-122.133072	2.168202746842631	5.24620796913557	1.3996737214810382	1.4712917110589385	0.02530586526477026	1.5786392099680724	0.8859263398014311	2.6906124485499965	5.329417834072942	-2.6388053855229447	2.7122033947144253	-2.6237685911182074	0.8739015978644614	3.5420781463356255	3.397418542351348	0.5171958979499743	0.9503648543761231	0.7134905430939426	0.2741578492636798	0.5634810853944107	-0.3334820194451192	-1.1135092748275182	0.9174438790754308	2.042123299822615	1.124679420747184	-0.10790539730951958	2.5416042026823655	1.7015679850559273	4.001200371697409	-2.649509599991885	3.6603910984024672	1.0681858617461617	4.841359470454855	2.4795753101749884	1.6886867242841235	1.7626785637274363	1.0334237554869496	2.225567713439471	0.2041199826559248	1.890979596989689	490.47	213509.81	147.3	7.48	10027.677812299786	13.325374418542118	3484
17	18	unrestored_R1_C_D2	R1_C_D2	R1	C	D2	Salt_Pond	Pond	7/11/14	37.497168	-122.133072	2.168202746842631	5.24620796913557	1.3996737214810382	1.4712917110589385	0.02530586526477026	1.5786392099680724	0.8859263398014311	2.6906124485499965	5.329417834072942	-2.6388053855229447	2.7122033947144253	-2.6237685911182074	0.8615344108590378	3.6067037413336744	3.485579476984679	0.48287358360875376	1.0161973535124391	0.7795964912578245	0.47421626407625517	0.4927603890268375	-0.38510278396686537	-1.3467874862246563	0.9347423292559566	2.2410791968785326	1.3063368676225762	0.17318626841227402	2.28941056088599	1.1789769472931695	3.98462324460856	-2.116224292473716	3.7264826967848297	1.1341771075767664	4.993436230497612	2.6317480743965693	1.9843922785242656	1.975431808509263	1.0644579892269184	1.8388490907372552	0.47712125471966244	2.1357685145678222	490.47	213509.81	147.3	7.27	9652.131822977402	20.245889753535934	4043
18	19	unrestored_R2_A_D1	R2_A_D1	R2	A	D1	Salt_Pond	Pond	7/11/14	37.495828	-122.133119	2.3637999454791094	5.399287702688465	1.424881636631067	1.9552065375419418	0.15228834438305647	2.1212314551496214	0.8567288903828826	3.1229298284449634	5.607741134374861	-2.484811305929898	3.1310345080282356	-2.4742092652198306	0.8591382972945308	3.6679196853173615	3.522313795156667	-0.2218487496163564	0.9995654882259823	0.7626785637274363	0.7151673578484579	-0.2006594505464183	-1.1191864077192086	-2.0	0.9641036197831897	2.189569377428766	1.2254657576455765	-1.3010299956639813	1.1908917169221696	0.7323937598229685	3.537403233177481	-2.4919217125861506	3.269045709657623	0.6766936096248666	5.389697548206386	3.0280015793468578	2.023499381548012	1.5250448070368452	0.36172783601759284	1.5092025223311027	-0.3010299956639812	1.5943925503754266	1327.18	405266.9	231.1	7.23	3446.6980081387883	16.806054115799242	4655
19	20	unrestored_R2_A_D2	R2_A_D2	R2	A	D2	Salt_Pond	Pond	7/11/14	37.495828	-122.133119	2.3637999454791094	5.399287702688465	1.424881636631067	1.9552065375419418	0.15228834438305647	2.1212314551496214	0.8567288903828826	3.1229298284449634	5.607741134374861	-2.484811305929898	3.1310345080282356	-2.4742092652198306	0.8312296938670634	3.6527296960692475	3.782759192623997	0.250420002308894	1.0696680969115957	0.8331471119127851	0.7015679850559273	0.2528530309798932	-0.6143937264016879	-1.5528419686577808	0.9315796903909191	2.2146800980117973	1.283100407620878	0.8095597146352678	1.9721102284028305	0.6720978579357175	3.898954319624935	-1.1625505137675627	3.563599728881531	0.9712758487381052	5.010299956639812	2.6487502126980194	2.1136091510730277	1.8155777483242672	0.919078092376074	1.606381365110605	0.17609125905568124	2.2605483726369795	1327.18	405266.9	231.1	6.78	7924.17977235872	19.191123825842183	4495
20	21	unrestored_R2_B_D1	R2_B_D1	R2	B	D1	Salt_Pond	Pond	7/11/14	37.496143	-122.133119	2.22219604630172	5.29537134846635	1.4183012913197455	1.99563519459755	0.4885507165004443	1.4927603890268375	0.8920946026904804	3.206040198735275	5.610020790140798	-2.4039805914055226	3.212744103820819	-2.395160902834923	0.8344207036815325	3.653115993165567	3.7552648914122466	0.14921911265537988	0.983175072037813	0.7466341989375788	0.6201360549737575	0.17897694729316943	-0.7055337738384071	-1.6382721639824072	0.9215188481741243	2.1989094036829093	1.2773905555087852	-1.3010299956639813	1.4628470358316736	0.8920946026904804	3.446981186778768	-2.763877031495655	3.5056925074122	0.9132839017604184	5.203304916138483	2.841484609335393	2.1011625822148416	1.737987326333431	0.7558748556724915	1.7126497016272113	0.2787536009528289	2.0310042813635367	1607.09	407399.78	166.8	6.83	2798.860073069056	18.940461446295487	4499
21	22	unrestored_R2_B_D2	R2_B_D2	R2	B	D2	Salt_Pond	Pond	7/11/14	37.496143	-122.133119	2.22219604630172	5.29537134846635	1.4183012913197455	1.99563519459755	0.4885507165004443	1.4927603890268375	0.8920946026904804	3.206040198735275	5.610020790140798	-2.4039805914055226	3.212744103820819	-2.395160902834923	0.8318697742805017	3.657629431388952	3.959756672990995	0.40483371661993806	1.0788191830988487	0.8426092396105621	0.6454222693490919	0.42813479402878885	-0.47495519296315475	-1.4559319556497243	0.9465548712634301	2.2721837993147846	1.3256289280513547	0.287801729930226	2.0321350468799015	0.8808135922807914	3.8409363739952664	-1.7443333169496755	3.699143687394484	1.106870544478654	4.923244018630276	2.5615783683009608	2.0809149588566256	2.0017337128090005	1.0293837776852097	1.8432327780980093	0.25527250510330607	2.163757523981956	1607.09	407399.78	166.8	6.79	6933.242236024844	21.165519281175737	4546
22	23	unrestored_R2_C_D1	R2_C_D1	R2	C	D1	Salt_Pond	Pond	7/11/14	37.4965	-122.13309199999999	2.366236123718293	5.404092732449247	1.4313637641589874	2.14674801363064	0.48287358360875376	1.6263403673750423	0.9106244048892013	3.201006356679015	5.716554047212578	-2.515547690533564	3.2077878107404216	-2.504178212789156	0.8273692730538252	3.6745856023029138	3.886490725172482	0.24797326636180664	0.9449759084120479	0.7084209001347127	0.5237464668115646	0.25527250510330607	-0.6840296545430823	-1.5686362358410126	0.9987688825852262	2.2280276292479417	1.2292587466627154	-1.3010299956639813	1.9503161639246003	1.0453229787866574	3.8643104180621735	-3.2513461595885813	3.6124659639531425	1.0203612826477078	5.126131407261984	2.764400322956388	2.066027594948862	1.8709888137605752	0.7708520116421442	1.5587085705331658	0.2787536009528289	2.101403350555331	1588.57	520659.8	232.4	6.72	7316.618621905978	16.953475643130812	4727
23	24	unrestored_R2_C_D2	R2_C_D2	R2	C	D2	Salt_Pond	Pond	7/11/14	37.4965	-122.13309199999999	2.366236123718293	5.404092732449247	1.4313637641589874	2.14674801363064	0.48287358360875376	1.6263403673750423	0.9106244048892013	3.201006356679015	5.716554047212578	-2.515547690533564	3.2077878107404216	-2.504178212789156	0.8305886686851442	3.6610550848533787	3.9315595670908055	0.37106786227173627	1.065206128054312	0.8286598965353198	0.6424645202421214	0.39269695325966575	-0.51427857351842	-1.408935392973501	0.9521123974704937	2.1914213822903594	1.239308984819866	-1.3010299956639813	1.9307962629833002	1.1038037209559568	3.6851008603602526	-3.2318262586472812	3.691435152144062	1.0993352776859577	4.917505509552547	2.555698894718901	2.0809149588566256	1.9708116108725178	0.9867717342662449	1.7234556720351857	0.414973347970818	2.150756439860309	1588.57	520659.8	232.4	6.77	4842.848246206568	17.350379755177357	4582
