"CH4_H2"	"CH4_ac"	"MOB_I"	"MOB_II"	"MOB_IIa"	"MeOB"	"AOA"	"AOB"	"NOB"	"Anamx"	"SOxB"	"SRB_syn"	"SRB"	"FeOB"	"FeRB"	"Methanogen"	"Methanotroph"	"Methanogen_Troph"	"AOA_NOB"	"AO_NOB"
"MayberryNW_TuleA_D1"	11211.9904395167	4556.16783959633	4249.10370468729	1693.00225733634	331.961226928694	1070.57495684504	14722.4804142876	0	7294.84796175807	481.343779046607	7037.57801088833	39851.9452927898	19444.6288673483	904.594343380693	12025.295445492	15768.158279113	6274.06718895233	2.51322751322752	2.01820250284414	2.01820250284414
"MayberryNW_TuleA_D2"	3123.83785793975	5392.33915953886	617.32986240238	661.956117515805	44.6262551134251	364.447750092971	51208.6277426553	7.43770918557084	14302.7147638527	714.020081814801	8218.66865005578	78467.8319077724	30115.2844923763	15574.5630345854	4477.50092971365	8516.17701747861	1323.91223503161	6.43258426966292	3.58034321372855	3.58086323452938
"MayberryNW_TuleB_D1"	9251.11409707387	4988.06151942541	5394.0665268205	725.008941776949	386.671435614373	1111.68037739132	9879.45517994721	0	6389.74547352751	502.672866298684	9821.45446460506	47376.917648651	20329.2507274256	1943.02396396222	9985.78982474118	14239.1756164993	6505.74690421182	2.18870728083209	1.54614220877458	1.54614220877458
"MayberryNW_TuleB_D2"	1247.19571086353	6365.26103654131	806.11430092399	638.807559222784	68.443667059584	380.242594775467	52792.8818586258	0	15536.7124225255	448.686261835051	1604.62374995247	53682.6495304004	14844.6709000342	3171.22324042739	3072.36016578577	7612.45674740484	1513.36552720636	5.03015075376884	3.39794419970632	3.39794419970632
"MayberryNW_TuleC_D1"	4897.36532245363	5504.84861666304	7289.79953051291	607.483294209409	97.4973188237323	1042.47133203837	60455.8374644698	59.9983500453737	11039.6964083488	517.485769141348	4874.86594118662	59405.8663386757	26631.7676263903	959.97360072598	11774.6761964046	10402.2139391167	7994.78014354605	1.30112570356473	5.47622282608696	5.48165760869565
"MayberryNW_TuleC_D2"	4865.31791513632	3243.54527675755	1103.89566141748	667.788733450083	68.1417074949064	306.637683727079	35351.9178483574	13.6283414989813	12006.5688606025	340.708537474532	4572.30857290822	61531.9618679005	26268.6282392864	5226.46896485932	5710.27508807316	8108.86319189386	1839.82610236247	4.40740740740741	2.94438138479001	2.9455164585698
"MayberryNW_CattailA_D1"	6929.21756793956	3597.49788801245	10147.0323015444	417.651469848412	9.49207886019117	2306.57516302646	10412.8105096297	47.4603943009559	5382.0087137284	1480.76430218982	10213.4768535657	64716.9936687834	29321.0315991305	2961.52860437964	23644.7684407362	10526.715455952	10574.175850253	0.995511669658887	1.9347442680776	1.94356261022928
"MayberryNW_CattailA_D2"	1353.26905914883	1762.90726083713	548.622591546823	1404.47383435987	58.5197430983278	175.559229294983	29691.454654514	14.629935774582	9663.07257911137	1397.15886647258	1514.19835266924	59251.2398870569	27197.0506049478	1009.46556844615	16144.1341272512	3116.17631998596	2011.61616900502	1.54909090909091	3.07267221801665	3.07418622255867
"MayberryNW_CattailB_D1"	6536.9359113467	3735.39194934097	4144.50630569736	1182.87411729131	53.3627421334424	916.060406624095	32978.1746384675	17.7875807111475	11286.2199612231	755.972180223768	11553.0336718903	53407.2110852203	31795.3005211761	6750.38687988046	5327.38042298867	10272.3278606877	5380.74316512212	1.90909090909091	2.92198581560284	2.92356185973208
"MayberryNW_CattailB_D2"	2654.90373912685	5054.21115554273	2696.12895246733	725.563754792431	82.4504266809581	412.25213340479	35626.829368842	24.7351280042874	10289.8132497836	758.543925464814	3462.91792060024	55464.4020282805	21626.7469184153	915.199736158634	3405.20262192357	7709.11489466957	3504.14313394072	2.2	3.46233974358975	3.46474358974359
