	EWsiteHyd_index	Sample	MG_name	Index	Location	Pl_Sp	EWcoastGroup	SALTgroup	LU	Depth	EW.no	iTag_name.x	Site_indx	Salinity.x	Bulk_dens	H2O_FPS	CO2_mg_m2_h	CO2_soilC_mg_g_d	CH4_ug_m2_h	CH4_CO2	CH4_soilC_ug_g_d	pH	Cl	SO4	Corg_LOI	C	N	P	NO3_N	NH4_N	Olsen_P	CN	CP	NP	NP_ext	NO3_NH4	C_g_m2	N_g_m2	P_g_m2	Fe	Mn	Cu	Zn	CH4_m2_lin	CO2_m2_lin	Salinity_lin	Cl_pw	SO4_pw	DOC_mg_L	NO2_pw	NO3_pw	NH3_pw	PO4_pw	Fe_pw	Mn_pw	Co_pw	Cu_pw	Zn_pw	Ca_pw	Sr_pw	Mg_pw	Na_pw	K_pw	Al_pw	Si_pw	Br_pw	F_pw
10	10	Sandmound_ThreeSqB_D1	Sandmound_ThreeSqB_D1	6.0	Sandmound	ThreeSq	SF_Ref	FW	Ref	d1	6.0	s006_Sandmound_ThreeSqB_D1	10	-0.23302051407603375	-0.6190228416149829	1.9256037809240674	0.4223257710749216	-1.9440217183535382	-0.17932099119510878	-1.6016467622700303	-2.5456684806235685	0.7958800173440752	1.209515014542631	1.9143431571194407	1.1894903136993675	1.1878026387184193	0.028977705208777998	-1.0177287669604316	-0.44369749923271273	1.6324572921847242	1.1038037209559568	1.227278570170927	2.618637207704922	1.3913586375339948	2.9989299026728653	-2.076154791417437	3.746558731140066	2.5860461226494764	1.5393396504802668					0.661727234	2.6443916130000003	0.584762462	2.3397683506859113	0.372175286115064	1.0681858617461617	-0.01300446027561836		0.6625689669332602		3.4091009144836066	2.7605657166613233	-0.2218487496163564	0.15228834438305647		4.685290285503819	2.3244265101417327	4.327722976010321	5.016845508082045		1.3436055081041718	4.014393255864	0.11025291735340308	-0.39040559077477993
11	11	Sandmound_ThreeSqB_D2	Sandmound_ThreeSqB_D2	89.0	Sandmound	ThreeSq	SF_Ref	FW	Ref	d2	89.0	s089_Sandmound_ThreeSqB_D2	11	-0.23302051407603375	-0.6036479800480289	1.9211149091068602	0.4223257710749216	-1.9834240232174298	-0.17932099119510878	-1.6016467622700303	-2.58507078548746	0.7737864449811935	1.2676409823459156	1.7693773260761385	1.213517756996305	1.2103185198262318	0.009025742086910208	-1.0222763947111522	-0.16749108729376366	1.4695274791870139	0.9344984512435677	1.271257976589732	2.64721227875258	1.3759543021628475	2.8468223525182497	-1.6370185664807775	3.7859610360039575	2.5814690210945628	1.5501668842965002	4.402948829344405	2.7641761323903307	1.8325089127062364	1.9444826721501687	0.661727234	2.6443916130000003	0.584762462	2.3397683506859113	0.372175286115064	1.0681858617461617	-0.01300446027561836		0.6625689669332602		3.4091009144836066	2.7605657166613233	-0.2218487496163564	0.15228834438305647		4.685290285503819	2.3244265101417327	4.327722976010321	5.016845508082045		1.3436055081041718	4.014393255864	0.11025291735340308	-0.39040559077477993
12	12	Sandmound_ThreeSqC_D1	Sandmound_ThreeSqC_D1	7.0	Sandmound	ThreeSq	SF_Ref	FW	Ref	d1	7.0	s007_Sandmound_ThreeSqC_D1	12	-0.19967051966394542	-0.6556013407859602	1.9068298560436872	0.7014563106523038	-1.65604302155033				0.8088858673598122	1.1386184338994925	1.7505083948513462	1.2172206556445186	1.2206310194480923	0.033021444682910656	-1.0362121726544447	-0.4814860601221125	1.693023067923694	1.212187604403958	1.2509651726419453	2.664850955344086	1.4138857827021405	3.0772460460952056	-2.1745091280458064	3.7377105739142396	2.553511362952632	1.4842777456152763					-0.341332784	5.028706753	0.631436206	2.621792480247174	1.1994260415939901	1.0588054866759067		-1.0731432910503076			2.4334017673890713	2.585866633306378	0.08990511143939793	0.5378190950732742		4.7503985345376565	2.519998529118847	4.529621663605151	5.2590614822279615		1.2617385473525378	4.0023946004010424	0.25406445291433793	-0.37986394502624243
13	13	Sandmound_ThreeSqC_D2	Sandmound_ThreeSqC_D2	90.0	Sandmound	ThreeSq	SF_Ref	FW	Ref	d2	90.0	s090_Sandmound_ThreeSqC_D2	13	-0.19967051966394542	-0.5971046935981864	1.8893315451682087	0.7014563106523038	-1.72674486101428				0.7860412102425542	1.1179338350396415	1.7387805584843692	1.229425847920695	1.2027606873932	0.00860017176191757	-1.0087739243075051	-0.16749108729376366	1.6760531246518715	1.0934216851622351	1.2875916378391148	2.6496178992733226	1.3620262614342078	3.03612390181943	-1.8435442119456351	3.80841241337819	2.5875867372194126	1.5702126411499897	4.401055725771844	3.06595298031387	1.806179973983887	1.9344984512435677	-0.341332784	5.028706753	0.631436206	2.621792480247174	1.1994260415939901	1.0588054866759067		-1.0731432910503076			2.4334017673890713	2.585866633306378	0.08990511143939793	0.5378190950732742		4.7503985345376565	2.519998529118847	4.529621663605151	5.2590614822279615		1.2617385473525378	4.0023946004010424	0.25406445291433793	-0.37986394502624243
14	14	WestPond_TuleA_D1	WestPond_TuleA_D1	8.0	WestPond	Tule	SF_Rest	FW	West	d1	8.0	s008_WestPond_TuleA_D1	14	-0.44604977087819914	-1.2483827075963303	1.842697761751002	1.3866001573949445	-0.8557654803352566	2.4506004931693686	0.06400033577442421	0.20823485543916756	0.7993405494535817	0.5118833609788743	1.507855871695831	1.6948683279824561	1.6374897295125106	0.22865695810893527	-1.0457574905606752	0.43456890403419873	2.3525876705860482	1.1613680022349748	1.5329773315538582	3.152043945588254	1.6190666140343954	3.748673601672904	-1.9180187665518493	3.622576879441807	2.1563655095682863	0.8819510608986759					282.2282567	24.35567428	0.358055401	2.2055859638427555	0.9015400504335025	1.0273496077747566	-0.00788851221305034	-0.22621355501880647			1.9056879677118521	-0.045757490560675115	-0.8239087409443188	-0.05060999335508721		4.662381059449142	2.315634529100032	4.318804343781176	4.827513303096616	3.057293256875282	1.423737249982329	4.027524106082848	0.020568434801362646	-0.3695721249749761
15	15	WestPond_TuleA_D2	WestPond_TuleA_D2	91.0	WestPond	Tule	SF_Rest	FW	West	d2	91.0	s091_WestPond_TuleA_D2	15	-0.44604977087819914	-1.132217895295536	1.8317625665539115	1.3866001573949445	-0.8582148566198836	2.4506004931693686	0.06400033577442421	0.20578547915454062	0.761927838420529	0.973589623427257	1.6294095991027189	1.5811528919662887	1.5425764762605296	0.1855421548543752	-0.9244530386074692	0.33041377334919086	1.826787238816292	0.9294189257142927	1.4623766987922509	2.9170240576188804	1.4546473588266295	3.109987436953316	-1.4963734654671013	3.625026255726434	2.2294155186145206	1.1194203251526762	4.119915410257991	2.1335389083702174	1.6020599913279623	1.6812412373755872	282.2282567	24.35567428	0.358055401	2.2055859638427555	0.9015400504335025	1.0273496077747566	-0.00788851221305034	-0.22621355501880647			1.9056879677118521	-0.045757490560675115	-0.8239087409443188	-0.05060999335508721		4.662381059449142	2.315634529100032	4.318804343781176	4.827513303096616	3.057293256875282	1.423737249982329	4.027524106082848	0.020568434801362646	-0.3695721249749761
16	16	WestPond_TuleB_D1	WestPond_TuleB_D1	9.0	WestPond	Tule	SF_Rest	FW	West	d1	9.0	s009_WestPond_TuleB_D1	16	-0.419937429084123	-1.2006805485310987	1.8148316176471495	0.990241542827422	-1.2354874974123784	1.501271140341238	-0.4889704024861841	-0.7244578998985627	0.7993405494535817	0.7291647896927701	1.6683859166900001	1.630529571426824	1.5847833789965078	0.31365634661803143	-0.9469215565165803	0.696356388733332	2.06310808299862	0.8388490907372553	1.38363918648913	2.988869254988527	1.6052300684993968	3.3734194945882265	-1.3667516942652882	3.6059402819514066	2.289067057142614	1.0284891540080023					31.71546917	9.77780885	0.380244176	2.062610184252971	1.0847192320112977	1.0102999566398119	0.04921802267018165	-1.1023729087095586	-0.00700490156865844		1.6939906104607767	1.7015679850559273	-0.6777807052660807	-0.3010299956639812		4.577400680351964	2.151492428425498	4.181368461411178	4.756985836853364	3.706016714290583	1.359835482339888	4.079457297203736	-0.025949097207122605	-0.3463052046849182
17	17	WestPond_TuleB_D2	WestPond_TuleB_D2	92.0	WestPond	Tule	SF_Rest	FW	West	d2	92.0	s092_WestPond_TuleB_D2	17	-0.419937429084123	-1.0844653803276552	1.8017800500165588	0.990241542827422	-1.2632512405246237	1.501271140341238	-0.4889704024861841	-0.7522216430108078	0.7634279935629372	0.8785217955012065	1.801403710017355	1.5420781463356257	1.5165353738957996	0.2019430634016502	-0.9706162223147904	0.4623979978989561	1.8807564445102103	0.7558748556724915	1.4069010446143129	2.9241124956955384	1.5172114510812258	3.2127527989845146	-1.4183584466112542	3.633704025063652	2.293568942129676	1.1210096564132357	4.200850498091078	2.143014800254095	1.5797835966168101	1.662757831681574	31.71546917	9.77780885	0.380244176	2.062610184252971	1.0847192320112977	1.0102999566398119	0.04921802267018165	-1.1023729087095586	-0.00700490156865844		1.6939906104607767	1.7015679850559273	-0.6777807052660807	-0.3010299956639812		4.577400680351964	2.151492428425498	4.181368461411178	4.756985836853364	3.706016714290583	1.359835482339888	4.079457297203736	-0.025949097207122605	-0.3463052046849182
18	18	WestPond_TuleC_D1	WestPond_TuleC_D1	10.0	WestPond	Tule	SF_Rest	FW	West	d1	10.0	s010_WestPond_TuleC_D1	18	-0.4265942712894521	-1.129631518528481	1.8968162259617831	0.6656414337561859	-1.656992784118096	0.011205477848741568	-1.6544359559074444	-2.31142874002554	0.8020892578817327	0.7442929831226762	1.6324572921847242	1.6563857190586877	1.6084190513172854	0.33425264233423085	-0.9208187539523752	0.287801729930226	2.115244285327255	0.9912260756924949	1.3888990384047943	2.9886226000561855	1.5997235616513912	3.387591687059806	-1.8274425553970288	3.702845459585888	2.380712382861431	1.125640986574825					1.026137308	4.630644423	0.374460255	2.2737499291538867	1.4478322152799334	1.196452541703389	-0.0023952125395456008	0.6448815211552922		-0.0736575533743449	1.6722826247889206	-0.1804560644581313	-0.431798275933005	1.308777773664721	1.1953460583484197	4.612141579518703	2.240474363467878	4.309287706199471	4.942240772501363	3.620544120845509	1.5482665451707454	4.012621288725632	0.023458237643675228	-0.33021838479146337
19	19	WestPond_TuleC_D2	WestPond_TuleC_D2	93.0	WestPond	Tule	SF_Rest	FW	West	d2	93.0	s093_WestPond_TuleC_D2	19	-0.4265942712894521	-1.1890687063803487	1.9020117629669842	0.6656414337561859	-1.5931259467406147	0.011205477848741568	-1.6544359559074444	-2.247561902648059	0.7759743311293691	0.9717395908877783	1.7730546933642626	1.6519560695330742	1.6023855901051052	0.23527587668705244	-0.9507819773298184	0.45939248775923086	2.0054808099794013	0.9731278535996987	1.483446154526359	3.014156173908015	1.530710019381656	3.313555872222944	-1.5460883222201705	3.638978622208407	2.222298429362385	1.0362405753455142	3.996949248495381	1.9294189257142926	1.5185139398778875	1.5797835966168101	1.026137308	4.630644423	0.374460255	2.2737499291538867	1.4478322152799334	1.196452541703389	-0.0023952125395456008	0.6448815211552922		-0.0736575533743449	1.6722826247889206	-0.1804560644581313	-0.431798275933005	1.308777773664721	1.1953460583484197	4.612141579518703	2.240474363467878	4.309287706199471	4.942240772501363	3.620544120845509	1.5482665451707454	4.012621288725632	0.023458237643675228	-0.33021838479146337
20	20	WestPond_CattailA_D1	WestPond_CattailA_D1	11.0	WestPond	Cattail	SF_Rest	FW	West	d1	11.0	s011_WestPond_CattailA_D1	20	-0.3792658055855656	-1.1535963882181295	1.8784057801340261	1.1705165465349379	-1.0897105174199806	2.130410434005803	-0.04010611252913482	-0.12981662994911555	0.8055008581584001	0.8356905714924255	1.7427251313046983	1.617943434828973	1.5755342183198644	0.3113299523037932	-0.7619538968712045	0.2944662261615929	2.103324707061445	1.2600713879850747	1.3733794442055172	2.7913154587453	1.4179360145397828	3.2170855242726777	-1.808858480899852	3.6404383056665246	2.3338248231413448	1.2605409739663471					135.0238335	14.80868675	0.417574716	3.537614110062415	2.5392894280714455	1.507180977260241	-0.43651891460558934		-1.5528419686577808		1.8468317528232574	2.0178677189635055	0.2787536009528289	1.5160062303860478	1.4763968267253302	4.932061445871743	3.2594744195310756	5.354044097305086	6.268506021859897	4.695983976692301	1.3763944420372662	4.135962585265891	1.0330214446829107	-0.6020599913279624
21	21	WestPond_CattailA_D2	WestPond_CattailA_D2	94.0	WestPond	Cattail	SF_Rest	FW	West	d2	94.0	s094_WestPond_CattailA_D2	21	-0.3792658055855656	-1.0536315362472122	1.8678361449561243	1.1705165465349379	-1.1143084108224548	2.130410434005803	-0.04010611252913482	-0.15441452335158953	0.761927838420529	1.0038911662369105	1.7626785637274363	1.5425764762605296	1.5213996281153757	0.19865708695442263	-1.0	0.3159703454569177	2.1995906406036934	0.8325089127062363	1.4106853509864443	2.953994603305652	1.5433092523192078	3.550346059429364	-1.8836202951467755	3.665036199068999	2.321116809762892	1.122459722808469	4.235023159495223	2.143014800254095	1.6720978579357175	1.8260748027008264	135.0238335	14.80868675	0.417574716	3.537614110062415	2.5392894280714455	1.507180977260241	-0.43651891460558934		-1.5528419686577808		1.8468317528232574	2.0178677189635055	0.2787536009528289	1.5160062303860478	1.4763968267253302	4.932061445871743	3.2594744195310756	5.354044097305086	6.268506021859897	4.695983976692301	1.3763944420372662	4.135962585265891	1.0330214446829107	-0.6020599913279624
22	22	WestPond_CattailB_D1	WestPond_CattailB_D1	12.0	WestPond	Cattail	SF_Rest	FW	West	d1	12.0	s012_WestPond_CattailB_D1	22	-0.3735189953215682	-1.2106647694376993	1.86197154892545	1.2568192570612244	-0.9700683640698379	1.4271313105055605	-0.8296879465556639	-0.7997563106255019	0.8014037100173551	0.8388490907372553	1.760422483423212	1.6416723732246865	1.611617110554336	0.3014640731432998	-0.9318141382538384	0.4329692908744057	2.372304301812888	1.0043213737826426	1.406974261761724	2.9849046385236475	1.5779303767619233	3.654198574302206	-1.9393350109384824	3.6070988628426686	2.2668905627612816	1.0336123513641435					26.73814724	18.0642218	0.42313700200000004	2.3841015112378083	1.3894407552214607	0.9949327367300418	-0.018634490921455603				1.715334683792313	1.4398062113933303	-0.769551078621726	0.42975228000240795	1.8360708089151418	4.7083525634937144	2.4149065282950337	4.419142874062471	5.026390205687983	3.2808514256942063	1.3671694885346808	4.068903154136925	0.11075800887988767	-0.36401388819916697
